stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,97.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.4,20.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.97,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.86,1.76,0,0,0,17.05,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,460.13,0,0,0,0,38.56,0,2.82,0,0,0,0
 48-58,0,0,0,1.59,0,0,111.23,0,0.93,0.57,4.19,0,0,0,0,0,0,10.01,1.32,0,3.43,1093.82,0,0,0,0,2.33,0,15.17,0,1.92,0,1.8
 60-70,0,0,0,0,0,0,166.92,0.58,0,0,11.62,0,0,0,0,0,0,14.26,2.63,0,0,2804.05,0,0,0,0,0,0,76.81,0,0,0,0
 72-82,0,0,0,27.87,9.72,0,364.6,7.66,0,0.71,15.84,0,0,0,0,3.96,0,23.14,0,0,0,2437.15,1.9,0.49,0,1.4,0.79,0,55.36,1.34,5.97,0,10.39
 84-94,0,0,0,11.06,4.81,0,281.87,4.89,2.11,0,15.17,0.77,0.7,0,0,0,1.49,7.75,0,0,0,1551.12,3.11,2.12,0,0,2.7,0,49.72,0.63,1.77,0,0
 96-106,0,0,0.95,3.15,13.55,0,222.7,0,2.4,0.72,18.66,0,0,1.91,0.61,0,0,22.74,0,0.66,2.1,1173.7,0,0,0,0,3.86,0,27.79,0,2.17,4.27,0
108-118,0,0,0.77,31.66,7.28,2.51,196.36,1.3,0,0.48,11.07,0,0,0.49,0.72,0,0,10.08,0,0,0.92,1826.81,2.93,1.75,0,0,0.82,0,12.89,0,0,2.72,0
120,0,0,0,3.45,12.26,0,331.25,0,0,0,28.09,0,0,0,0,0,0,19.9,0,4.71,0,3075,10.18,0,0,7.36,7.87,1.86,18.21,0,0,0,0
