stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  5-6,66.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.92,0,0,3.71,0,0,0,0,0,0,0,0,0,19.58,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,60.84,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0.8,1.15,2.19,3.74,0.96,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,3.79,0,0.63,0,0.67,0,0,0,0,0,0
 36-46,0,0,0,4.66,2.07,0,2.96,0,1.11,0,0,4.5,0,85.61,3.54,0,9.79,0,0,21.69,0,0
 48-58,0,0,0,0.54,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,0.97,0,0
 60-70,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,1.73,0.61,0,0,0,3.08,0,0,1.24,0,1.51,1.26,2.25,3.39,0,0,0,0,0,0,0
 84-94,0,0,0,6.33,0,3.55,0.58,0,0,0,0,2.01,0,27.5,0,1.55,2.19,0,0,0,0,1.77
 96-106,0,0,0,41.81,0,0,2.17,0,0,0,1.01,0,0,0.86,0,0,0,0,0,0,0,0
108-118,0,0,0,12.15,0,0,0.93,0.85,4.56,0,0,0,0.55,8.21,1.47,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,8.18,0,0,0,0,0,0,0,0,0,0,0,0,0
