stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.48,109.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0
  5-6,0,74.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,57.71,12.38,0,0,15.51,0,0,3.79,0,0,0,0,0,0,0,0
 10-12,0,0,13.09,0,0,0,16.23,0,0,0,0,0,0,0,0,0,0,0,0,0,17.88,0,0,0,11.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9.75,0,0,2.82,0,0,3.24,0,0,0,0,0,0,0,0.94,0,5.18,45.62,0,0,0,0.83,0,0,0,0.82,0,11.3,0,0,0,0,0
 24-34,0,0,0,4.33,0,0,7.95,1.36,0,3.25,0,0,0,0,0,0.68,0,15.94,0,11.42,72.7,0,0,0.69,0,0,0,0,0,0,23.14,0,0,0.64,0,0
 36-46,0,0,0.56,8.32,0,0,21.24,0,0.6,3.08,0,0,0,0,1.11,0,0,19.41,0,16.04,75.84,0,0,6.85,0,0,0.71,0,0,0,15.98,0,0,1.67,0,0
 48-58,0,0,0,11.92,0,0,38.43,2.58,0.96,7.62,0,0,0,0,0,0,0,44.51,3.08,8.72,54.16,0,0,0.44,0,0,0,0,0,0,3.72,0,0,0.5,0,5.97
 60-70,0,0,0,15.27,0,0,39.69,0,0.86,13.99,1.41,0,0,0,0,0,0,48.84,0.84,7.17,56.55,0,0,0.57,0,0,0.63,0,0,0,8.5,0,0,0,0.81,0
 72-82,0,0,0,12.88,3.84,0,47.96,0.91,2.51,14.26,0,0.5,2.03,0,0,0,8,69.48,3.58,9.03,63.33,0,0,1.91,0,0.71,0,0,0,0,2.1,0,0.61,5.38,0.72,0
 84-94,0,0,0,6.26,0,0,47.86,2.31,1.26,8.15,0.63,0,0,1.25,2.08,0,0,53.88,5.63,5.84,61.28,0.94,0,0.72,0,2.3,1.66,0,0,0,5.39,0,0,12.53,1.33,0
 96-106,0,0,0,5.3,0,0,54.53,0,0,16.95,2.7,0,0,0,0,0,0.69,53.98,1.41,5.2,17.35,0,6.19,0,0,0,5.93,0,0,0,0,0.82,0.78,2.35,0.72,0
108-118,0,0,0.74,7.52,0,0.44,78.96,0.5,0.85,18.33,0.66,0,1.3,0,1.17,0,0.58,67.15,4.5,7.24,57.51,0,1.29,0.43,0,4.23,3.05,0,0,1.91,0.78,0.71,0,9.23,1.59,0
120,0,0,0,4.06,0,0,50.98,11.64,0,26.68,0,5.1,8.21,0,0,0,0,84.35,1.38,11.14,50.42,0,0,5.44,0,0,1,0,0,0,3.15,0,1.56,9.03,0,0
