stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,21.72,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.74,1.05,0,0,0,0,0,0,0,0,0,0,0,0,5.37,0,1.05,19.05,1.29,1.03,0,0.81,0,0,1.81,0,0.87,14.93,0,0,0.98,0
 24-34,0,0,0,0,1.09,12.49,0,0,0,1.58,0,0,0,4.84,0,0,0,3.35,0,2.67,108.37,0,3.33,5.35,0,0,0,0,0,1.15,70.23,0,0,39.92,0
 36-46,0,0,0,0,0,24.77,0,0,0,1.3,0,0,0,0.67,0,3.34,0,10.76,0,0.86,112.91,0,8.02,2.92,0,0,0.87,0,0,0,47.03,0,0,88.58,0
 48-58,0,0,0,2.63,0.58,71.23,0,0,1.18,4.51,0,2.08,3.44,0.49,0,1.34,0,7.96,0,1.81,173.73,0,0.44,2.38,0,0,4.25,0,0,0,49.32,0,0,82.42,0
 60-70,0,0,0,0.57,0,94.56,0,0,0,2.84,0,0,0,0.92,0,0.6,0,6.85,0,0,204.73,0,0,7.51,0,0,3.28,0,0,0,29.93,0,0,105.19,0
 72-82,0,0,0,2.56,1.06,120.16,0,0,3.99,9.22,1.8,0,4.27,0.5,0.65,5.46,1.54,28.96,0,1.27,192.13,0,0,21.23,0,0,0.7,0,0,0,15.46,0,1.01,277.41,1.15
 84-94,0,0,0,7.48,0,160.85,0,0.56,0.89,4.69,0.9,0,3.36,4.35,0,4.3,0,30.8,0.58,0,99.34,0,3.89,43.63,0,0,0,0,2.31,0,9.4,0,1.08,203.31,2.8
 96-106,0,0,0,5.01,16.56,239.6,6.3,0,0,6.8,2.81,1.16,7.51,1.48,0,6.97,0,31.18,0,0,155.85,0,1.23,57.33,0,1.51,0,0,6.01,0,6.1,0,0,283.24,3.45
108-118,0.45,0,1.36,1.2,5.15,322.56,0,0,3.09,14.07,1.62,0,10.13,4.15,0,6.72,2.41,30.21,0,2.35,232.92,0,0,64.72,0,1.23,0,0,15.46,0,4.93,0.74,0,273.43,7.34
120,0,0,0,4.81,2.22,485.82,0,0,0,19.43,3.66,0,7.33,8.19,0,6.01,0,27.77,0,0,297.06,0,7.23,69.51,0,0,0,0,33.96,0,1.19,0,0,364.71,0
