stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,130.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0,0,0
  5-6,10.01,190.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.47,0,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.69,0,0,0,23.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,16.5,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.25,0,0,0,15.5,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,23.19,4.94,19.47,0,0,0,3.05,1.38,0,0,0,0,0,0,0.88,15.52,0,7.94,255.35,1.65,0,4.1,6.01,0,45.18,0.88,0,24.13,72.83,0,0,2.18,0,0
 24-34,0,0,0,1.95,3.68,0,26.3,0,0,0,4.63,1.49,0,0,0,0,0,10.46,0,11.8,0,3.3,204.66,0,0,1.68,0,2.93,0.93,0,0,3.79,47.8,0,0,4.02,0,0
 36-46,0,0,0,0,3.28,0,43.17,0,0,0,8.21,0,0,0,0,0,0,0,0,20.88,0,6.77,237.8,0,1.21,0,0,5.37,0,0,0,0,51.36,0,0,3.76,0,0
 48-58,0,0,0,0,1.76,0,58.24,0.58,0,0,12.33,0,1.8,0,0,0,0,0,0.4,28.01,0.38,1.77,182.61,0,0,0.97,0,0,0,0,0,0,40.42,0,0,0.46,0,1.88
 60-70,0,0,0,0,6.56,0,90.82,0,0,0,13.73,1.27,0,0,0,0,0,0,1.94,32.51,0,5.35,112.24,0,3.07,0,0,1.46,0,0,0,0,10.62,0,0,2.96,0,0
 72-82,0,0,0,0,1.91,0,65.28,0,2.5,0,22.31,0.66,0.79,0,0,0.93,1.22,0,0,26.23,0.93,2.59,101.56,0.91,1.01,1.45,0,2.75,0,0,0,0,7.89,0,1.49,0,0,0
 84-94,0,0,0,0,3.16,0,16.74,0,0,0,11.25,0.71,0,0.73,0,3.05,0,0,0,19.82,0.76,3.88,50.03,1.52,0,1.32,0,0.98,0,0,0,0,3.34,0,2.65,9.49,4.58,0
 96-106,0,0,0,0,1.62,0,30.69,0.95,0,2.5,6.67,0,0.79,1.98,0.6,0,0,0,0,17.22,2.64,7.42,83.14,0.66,0.6,0,0,1.41,0,0,0,0,0,1.84,0,3.47,0,0
108-118,0,0,0.54,0,3.06,1.78,25.13,0,0.53,0,15.14,0.47,0.61,3.39,0,0,1.56,0.49,0.9,26.62,0,4.5,76.44,0.46,0,0.49,0,4.59,0,0,0.55,0,0.45,1.74,0,1.07,0,0
120,0,0,0,0,2.89,0,24.46,0,3.1,0,6.66,0,0,0,0,0,0,0,0,2.48,0,3.94,75.98,1.1,0,0,0,0,0,0,0,0,0,0,0,10.64,0,0
