stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,127.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,89.79,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,20.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.35,0,0,0,17.88,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.7,0,52.15,0,9.62,0,37.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418.36,18.07,0,0,71.13,0,0,11.51,0,8.56,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,31.41,11.47,0,10.89,0,0,0,2.69,1.08,0,0,0,0,0,0,0,42.58,0,0,14.41,262.29,0.85,0,0.88,0,0,0,0,7.87,0,9.66,86.71,0,0,10.23,0,0
 24-34,4.02,0,0,1.37,46.96,3.67,0,26.89,0,3.71,0.68,21.16,2.69,14.02,0,0,0,1.45,4.66,1.24,270.16,0,1.66,134.07,998.04,1.33,0,5.94,0,0,10.83,0,0,0,0.66,299.85,0,0,45.67,0,0.72
 36-46,0,0,0,0,23.66,0,0,21.71,0,1.38,2.95,51.95,0,19.45,0,0,0,0.7,2.61,1.58,389.82,0,23.1,91.18,570.41,2.85,0,6.46,0,8.24,2.23,0,1.39,0,0.83,221.59,0,1.47,25.77,0,0
 48-58,0.77,0,0,0,13.6,0,0,12.49,0,0,2.12,32.58,0,10.07,0,0,0.72,0.56,0,13.76,299.92,0,8.17,49.3,115.03,0,0,1.02,0,0.98,0,0,0,0.46,0,61.87,0,1.01,29.61,0,0
 60-70,0,0,0,0,24.99,10.02,0,33.43,0,4.17,5.57,77.16,0.96,3.87,4.08,0,0.98,0.72,9.67,0,627.35,0,38.13,41.55,121.34,0,1.33,1.61,0,5.91,0,0,0,0,0,31.36,0.77,5.88,34.4,6.38,8.31
 72-82,0,0,0,0,21.27,0,0,46.73,0.98,0.64,27.65,89.76,0,9.25,2.34,0,0,0,0.98,0,1062.41,0.51,44.35,75.45,116.36,0,0,15.71,0,18.67,2.38,0,0,0,0,11.26,0.87,25.12,54.34,30.98,0
 84-94,0,0,0,0,17.43,0,0,49.25,0,3.01,22.17,35.97,0,11.01,0,0,0.97,0.81,0,0,605.83,0,36.39,51.95,43.41,0,0,15.94,0,6.78,0,0,0,2.14,0,2.5,0,14.86,37.1,6.42,0
 96-106,0,0,0,0,9.51,0,0,14.64,0,1.39,8.61,65.16,3,7.55,1.71,0,2,3.33,9.58,0,491.76,0,18.34,55.59,93.5,0,0,13.78,0,14.58,1.56,0,0,0,0,0,0,16.05,30,6.04,7.56
108-118,0,0,0,0,19.99,7.32,2.29,52.24,0.84,5.02,16.61,57.56,0,15.33,0,0,3.06,0,1.32,0,868.37,1.09,29.23,48.16,91.23,1.25,0,21.17,0,21.58,1.24,0,0,0,0,4.03,2.64,7.99,55.98,18.62,0
120,0,0,3.29,0,12.55,0,0,35.36,1.06,7.14,9.31,74.33,0,29.31,0,4.81,0,0,0,0,793.97,0,30.44,44.57,154.91,5.09,0,22.12,0,25.93,1.11,0,0,0,0,0,0,8.12,102.6,51.98,0
