stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.83,0,0,0,0,0,0
  5-6,0,117.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.47,0,0,0,0,72.67,0,0,0,0,0,0
  7-9,11.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.81,0,0,28.04,0,5.34,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,137.29,0,0,23.93,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,13.68,0,0,0,0,3.53,0,0,15.59,1.07,2.99,0,0,0,1.91,14.44,0,0,19.06,0
 24-34,0,0,0,0.59,0,0,0,8.23,0,0,40.99,0,0,12.78,1.34,3.45,0,0.62,47.27,2.92,1.08,0,0,5.44,0,5.39,0,1.25,65.75,0
 36-46,0,0,0,0,0,0,0,12.48,0,0,8.66,0,0,2.12,0,0.81,0,2.56,15.37,1.67,0,0,0,9.71,0,1.63,0,0,17.33,0
 48-58,0,0,0,0,2.63,3.26,0,19.2,0,0,0.89,0,0,0,0,1.03,0.39,0,13.58,0,0,0,0,1.82,0,0,0,0,14.44,0
 60-70,0,0,0,0,1.84,0,0,48.47,0,0,0,0,0,0.98,0,2.89,1.02,0,28.9,0,0,0,0,4.84,0,0,0,0,4.98,0
 72-82,0,0,0,0,0,0,0,53.11,0,0,0.91,0,0,0,0,4.48,0,1.31,50.52,1.04,0.62,0,1.1,0,0,0,0,0,8.33,0
 84-94,0,0,0,0,3.97,0,0,29.73,0,1.51,0,0,0,2.04,1.07,2.13,0,1.18,36.76,5.87,0,0,0,0,0,0.7,0,0,5.78,0
 96-106,0,0,0.61,0,0.7,0,0,9.41,0,0,4.24,0,0,0,0,0.78,2.99,0,28.95,3.34,0.73,0,0,0,0,0,0,0,10.1,0
108-118,0,0,0,0,3.38,3.85,3.1,28.8,0.61,0,0.78,2.83,0,2.36,0,4.57,0,0.5,58.27,2.29,0,0,0,0.59,0,0,0.49,0,14.31,1.19
120,0,0,0,0,5.25,1.69,0,33.47,0,0,0,1.62,0,5.43,0,13.75,0,3.31,106.21,0,0,0,0,0,0,0,0,0,7.63,0
