stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,243.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.15,253.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.53,0,11.11,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,43.05,0,0,0,102.93,0,0,5.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.22,0,59.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.37,30.16,0,0,2395.12,0,0,0,45.87,35.54,0,22.37,0,0,0,0,0,0
 14-21,0,0.9,0,0,4.87,27.39,0.82,0,0,0,0.97,1.08,0,0,0,0,0,3.69,0,36.67,92.78,6.11,0,1.04,28.71,0,0,0,1361.42,0,4.31,476.49,30.64,0,0,0,0,0
 24-34,0,0,0,0,0,1.22,1.73,0,0,0,1.67,0,2.41,0,0,0,0,9.26,0,5.3,120.23,0,2.63,0.63,0,0,0,0,0,0,0,5.27,17.3,0,0,0,0,0
 36-46,0,0,0,0,7.82,0,1.05,0,1.39,0,19.87,0,0.89,0,0,0,0,6.45,0,0,375.38,0,1.29,0,0,0,0,0,0,0,0,0,32.42,0,0,0,0,0
 48-58,0,0,0,0,0,0,16.49,1,0,0,41.23,0,0,0,0,10.22,0,6.39,0.42,0.86,591.93,0,0,0.46,0,0,3.67,0,0,0,0.46,0,66.9,0,0,0,0,0
 60-70,0,0,0,0,10.2,0,36.4,0,0,1.58,107.23,0,0,0,0,0,0.7,25.55,0.76,2.69,980.22,0,0,2.77,0,0,6.71,0,0,0,0,0,86.74,0,0,0,0.81,0
 72-82,0,0,0,0,3.78,0.86,36.11,0,0,0,88.34,2.25,0,0,0,0,0,63.81,1.39,1.63,1245.19,0,0,2.21,0,0,0,0,0,0,0,0,81.89,0,0.81,0,0,0
 84-94,0,0,1.12,0,0,0,45.06,0,0,0,56.49,1.25,0,0,1.56,0,0,37.38,0,3.58,937.69,0.58,2.7,0,0,0,4.23,0,0,2.8,0,0,71.06,2.26,0.57,1.87,2.66,0
 96-106,0,0,1.25,0,1.32,1.54,70.54,0,0,0,54.91,0.89,0.78,0,0,0,0,59.57,0,0,848.76,2.25,1.25,0,0,1.36,1.37,0,0,0,0,0,50.11,0,0,0,0,0
108-118,0,0,0,0,1.43,0,26.51,0.56,0,0,57.43,4.36,0,0,0,0,0,63.59,0,0.72,656.8,0,1.07,0.57,0,0,0,0,0,0.81,0.69,0,30.65,0,1,2.17,0.68,0
120,0,0,0,0,19.38,0,80.88,0,1.42,0,104.05,2.56,0,3.34,0,0,0,71.17,0,0,1368.29,0,0,0,0,0,0,0,0,0,0,0,50.78,0,0,0,0,10.22
