stage,eye,glial,immune,iridophores,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,7.94,0,0,6.59,0,0,0
 10-12,0,0,0,0,0,4.9,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.47,0,0,0,1.08,0,0
 24-34,0,0,0,0,0,7.46,0,0,0,0,2.13,0
 36-46,1.11,0,0,0,1.87,7.76,1.3,0,0,0,0,0
 48-58,0.74,3.56,0,0,0,19.72,0,0,0,0,1.97,0.63
 60-70,0,0,1.42,0,0,0.89,0,0,0,0,0,0
 72-82,0,1.15,0,0,2.22,2.27,0,0,0,0,0.76,0
 84-94,3.31,4.32,0,1.03,5.71,4.1,0,0.55,0,0,1.93,0
 96-106,0,0,0,0.67,0,1.71,0,0,0,0,0,0
108-118,0,0,0,0,0,3.22,0,0.52,0,0,0,0
