stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63,0,0,0,3.92,0,0,0,0,0,0,0,0,0
 14-21,0,6.32,1.08,0,0,0,0,0,0,0,0.91,0,0,1.96,0,0,3.38,0,0,0,0,0,0,0,0,2.69,0,0,0,0,0
 24-34,0,24.13,0,0,0.75,0,0,0,0,0,0,0,0,29.19,0,0,12.68,14.9,2.42,0,1.09,0,0,0,1.29,0,0.77,0,0,2.07,0
 36-46,0,21.28,0,0,3.08,0.61,0.7,0,0.57,3.21,3.06,2.81,0,22.19,0,0,10.61,6.91,2.96,0,0,0,0,0,0.65,0,1.84,0,0,0,0
 48-58,0,34.32,0,2.89,10.38,5.46,0,0.49,2.03,1.01,0.98,1.71,11.42,84.4,1.23,0.51,15.8,18.81,17,0.4,0,0,0,0,0.47,0,0.39,0,0,11.31,0
 60-70,0,5.41,0,9.18,0.96,4.17,3.19,1.76,1.64,4.06,0,0,0,126.12,0,5.2,13.93,10.55,7.91,0,0,0,0,1.54,0.59,0,4.93,0,2.06,0,4.51
 72-82,0,12.13,0,0.49,0.51,8.76,3.26,0,1.6,4.37,0.7,2.92,1.76,104.85,3.53,5.85,7.37,11.81,0,0,8.01,0,0.89,0,1.46,0,0,0,5.96,1.05,0
 84-94,1,29.13,0,1.97,10.76,3.4,1.56,3.39,1.42,2.71,3.57,1.77,0.56,142.57,4.1,4.4,6.26,0,5.37,2.46,0,0,0,0,2.65,0,4.58,3.29,4.25,3.44,9.84
 96-106,0,13.56,1.17,0.62,3.71,0,1.04,0.67,3.79,6.2,2.38,0.64,0,96.06,0,0.84,9.87,16.25,1.24,1.03,3.06,0,3.05,6.4,6.67,0,0.99,1.65,3.2,3.62,3.95
108-118,0,17.97,0,5.92,4.21,2.79,2.93,0.8,0,0,3.26,1.23,1.7,63.94,4.25,0,2.97,18.65,3.19,1.35,10.16,0,1.83,0,1.29,0,1.1,2.52,4.82,5.71,1.59
120,0,40.87,0,4.56,7.8,9.06,17.08,5.56,4.06,1.81,1.29,0,1.09,118.07,4.4,13.81,6.73,14.14,3.19,5.18,13.81,0,7.11,0,8.42,0,0,2.36,4.25,2.07,8.74
