stage,blastomeres,epidermis,exocrine.pancreas,eye,immune,lateral.line,liver,mesenchyme,neural,otic,paraxial.mesoderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,21.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.9,0,0,0,0,0,0,0,0,0,9.41,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.58,0,0,2.18,0,0,0
 48-58,0,3.14,0,0.47,0,0,0,0.61,4,0,0,9.41,0,2.18,0
 60-70,0,0,0,0,0,0,0,0,1.98,0,0,0.94,0.61,0,0
 72-82,0,0,0,0,0,0,0,0,6.28,0.88,0,0,0,0,1.11
 84-94,0,0,0,0.71,0.87,0,0,0,7.73,0,0,0,0,0,0
 96-106,0,2.01,1.33,8.06,0,0.84,0,0,9.9,0,0,2.25,0.56,0,0
108-118,0,1.57,10.46,5.67,0,0,0.7,0,8.97,0,0,0,0,0,0
120,0,0,1.6,0,0,0,0,0,21.48,0,0,0,0,0,0
