stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,33.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.29,0,0,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.15,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.34,0,0,0,0,0,0.86,0,3.18,0,0,0,0,0,8.06,0,0,3.14,0,0,0,0,0,16.63,0,0.89,4.29,5.87,11.29,0,0,4.38,0,0
 24-34,0,0,0,0,0,0,1.55,3.02,0,0,2.2,0,13.02,0,3.58,0,10.05,0.97,7.35,0,2.98,39.86,0,2.88,0,0,0,59.73,0,4.81,5.89,7.92,18.28,0,0,46.04,0,0
 36-46,0,0,0,0,0.66,0,6.4,13.58,0,0,2.12,0,3.16,0,0,0,0,0,3.5,0,9.09,74.56,0,0,0,0,0,44.59,0,10.53,15.94,0,18.42,0,0,21.45,0,0
 48-58,0.58,0,0,0,6.84,0,14.58,13.75,0,0,6.25,0,1.27,0,0,0,4.78,3.19,13.53,0,0.8,130.9,6.52,1.27,0,0,0,8.04,0,1.89,3.62,0,20.89,0,0,29.08,0,7.23
 60-70,0,0,0,0,3.92,0,20.35,15.53,0,0,6.94,0,0,0.6,0,0,0,0,7.82,0.59,0.66,115.39,0.75,0,0,0,0,18.31,0,11.53,7.62,0,13.91,0,0,19.5,0,0
 72-82,0,0,0,0,4.91,2,54.09,11.42,0.5,1.03,23.06,0,2.2,0,0.93,0,0,0,47.11,0,9.45,191.5,0,5.38,0,0,4.68,8.76,0,12.06,1.54,0,13.2,2.3,0,30.07,0,0
 84-94,0,0,0,0,2.96,0,20.79,3.16,1.83,0,14.41,0,0,0,0,0,0,0,12.61,0,1.26,125.09,1.4,0,0,0,0,21.87,0,45.43,0.61,0,6.77,1.01,0,14.89,0.67,0
 96-106,0,0,0,0,0.72,0,28.73,10.5,0.61,0,33.01,0,1.58,0,0,0.58,0,0,24.22,3.63,2.41,193.64,0,1.65,0,0,0,22.4,0,35.99,1.41,0,2.15,0,4.11,22.8,0,0
108-118,0,0,0,0.74,8.19,0,25.8,16.25,2.28,0,38.32,0.88,7,0,3.66,0,0,1.02,31.22,5.32,8.5,165.56,1.1,0.54,1.28,0,0,9.4,0,52.45,5.38,0,0,0.91,0.53,28.43,1.07,4.35
120,0,0,3.73,0,15.8,0,18.75,23.58,0,0,45.02,0,4.14,0,0,0,0,0,16.14,0,6.18,223.62,0,3.01,0,0,0,37.33,1.12,42.13,0,0,9.32,0,0,37.26,0,0
