stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,48.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.58,36.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,63.01,0,0,0,13.42,22.91,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.27,0,0,0,6.46,0,0,0,0,0,0,0,0
 14-21,0,0,1.41,2.44,1.69,0,1.04,0,0,0,2.56,12.02,0,0,0,0,0,0,1.01,0,0,0,0,109.2,1.07,0.82,1.45,0,1.01,0,0
 24-34,0,0,0,6.93,5.08,0,0,0,0,0,0,34.87,1.29,0,0,1.02,0.67,0,43.72,0,0,0,0,428.65,0,1.68,5,0,2.01,0,0
 36-46,0,0,0,6.54,0,0,3.17,0,0,0,0,48.23,1.02,0,0,1.73,0,0,25.14,0.55,0.81,0,0,530.71,0,0,4.65,0,0,0,0
 48-58,0,0,0,11.85,0,0,0.97,3.02,0,0,0,45.48,0,0,0,1.68,5.85,0,12.38,0,0,0,0,290.76,0,0,11.74,0,0,0,0
 60-70,0,0,0,6.63,0,0,14.35,1.25,0,1.16,0,76.3,4.61,0,0,0.9,0.6,0.75,20.1,1.12,1.48,0,0,260.62,0,0,1.66,0,1.8,0,0
 72-82,0,0,0.64,23.37,4.3,0,6.93,0,0,0,0,56.67,5.71,0,0,3.77,1.7,0.65,5.08,0,0,0,0,213.78,0,0,1.38,2.62,6.69,0,0
 84-94,0,0,0,61.19,0.76,0,2.03,7.12,0,0,0,101.13,6.16,0,5.75,4.06,3.08,0,3.04,0,0,0.89,0,533.22,0,0,0,0,6.74,0,5.18
 96-106,0,0,0,58.91,0.69,0,8.2,6.06,0,4.39,1.97,100.13,9.51,0.65,0.81,4.42,2.63,0,12.05,0,0,0,0,473.57,0,0,0,0,1.3,1.15,3.36
108-118,0,0,0,73.02,0,1.42,4.11,10.13,0,1.94,1.91,92.56,5.08,0,5.45,6.54,6.69,3.97,11.77,0,0,2.59,0,429.91,0,0,0,0.51,0.42,0,0
120,0,0,0,126.61,1.68,0,0,8.62,8.35,3.65,0,117.14,2.46,1.15,0,3.18,2.79,0,12.32,0,0,0,0,253.03,0,0,0,3.57,8.59,0,0
