stage,axial,endoderm,erythrocytes,eye,glial,hatching.gland,immune,iridophores,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,9.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.87,0,0,0,0,0,0,0,0,0,3.5,8.91,0,4.38,0,0,0,0,0,0
 10-12,0,13.41,0,0,0,0,0,0,0,0,0,33.86,0,0,8.61,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.81,0,0,0,0,1.91,3.92,0,0,0,0,0,1.3,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.79,0,0,1.03,1.18,0,0,0.72,0,0.79,0,0,0
 36-46,0,0,0,0,0.89,0,0,0,0,0.63,0,11.9,0,0,0,2.38,0,3.13,0,0,0
 48-58,0,0,0,3.36,2.54,0,0.89,0,0,0,0,4.53,0,0,0,1.55,0,1.16,0,0,1.36
 60-70,0,0,0,9.59,5.12,0,0,4.31,1.15,0,1.19,5.47,0,0,0,0,0,1.98,0,0,0
 72-82,0,0,3.68,5.56,1.02,0,0,0,3.22,0,0,0.76,0,0,0,0.83,1.23,0.53,0,1.1,0
 84-94,0,0,0,1.2,0,0,0,0,5.69,0,0,0,0,0,0,0,0,0,0,1.04,0
 96-106,0,0,0,1.06,1.83,0,0,0,3.06,0,0,0.56,0,0,0,0,0,1.39,1.37,0,0
108-118,0,0,0,3.99,2.21,0,0.98,0,8.31,0,0,1.04,0,0.48,0,1.01,0,0,0,0,0
120,0,0,0,0,2.56,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0
