stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,39.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.61,0,0,0,14.35,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,44.94,0,34.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.01,16.86,0,0,485.99,0,7.75,52.42,0,9.11,0,0,0,0,0,0
 14-21,0,1.36,1.11,0.81,389.65,59.49,0,4.18,0,0,0,151.97,1.93,4.36,0,0,0,2.98,1.04,0,451.12,0,0,400.13,5198.38,20.89,0.98,4.41,92.65,3.94,445.77,0.85,26.55,486.02,1845.2,0,0,0,0,0
 24-34,0,0,0,1.89,228.48,5.62,0,30.75,0,2.07,5.25,153.23,2.77,0,0,0,0,15.17,3.47,2.97,776.71,1.27,0,193.73,4897.79,0,4.66,0,0,12.52,1.74,0,8.08,47.67,1214.07,0,0,11.95,0,0
 36-46,0,0,0,0,125.01,1.72,0,10.96,2.62,0,3.54,166.35,0,0,0,0,0,1.53,0,0,772.97,0,0,109,3083.68,9.6,1.02,0,0,2.08,2.24,0,8.48,1.38,802.54,0,0,11.46,0,4.98
 48-58,0,0,0,0,139.44,0,0,55.99,0.81,0,4.79,339.2,0,0,0.45,0,0.42,5.06,0,2.48,1066.26,0.72,1.1,70.81,1043.09,8.29,2.13,1.4,0,2.63,1.84,0,1.88,0,439.63,0,0,3.04,0,5
 60-70,0.81,0,0,0,101.43,2.11,0,33.62,3.41,1.4,1.36,216.83,0,0,0,0,0,5.97,2.74,0,963.74,1.3,1.09,54.65,367.73,2.11,0,0.68,0,0,0,0,4.13,0,292.94,0,2.55,5.2,0,7.05
 72-82,0,0,0,0,60.06,0,0,61.29,1.57,0,4.05,301.82,2.62,0,1.31,0,0,16.17,0,0.49,1438.26,1.11,4.86,44.74,410.57,0.5,1.09,0.5,0,3.55,0,0,0,0,157.7,3.84,8.7,9.59,0.71,0
 84-94,0,0,0,0,123.21,0,0,86.71,2.27,0.75,4.28,224.05,0,0,1,4.43,0,17.28,0,0,1209.56,0,7.36,40.71,230.64,0.62,2.97,0,0,0,0,11.19,1.41,0,136.18,0.78,0,3.44,3.29,5.35
 96-106,0,0,0,0,86.99,0,3.47,42.42,1.98,0.66,6.85,232.11,3.27,1.52,2.82,3.87,0,11.41,2.16,0,838.8,0,7.59,70.91,209.21,0,1.82,1.31,0,25.72,0,0,3.09,0,105.57,9.53,12.3,6.94,1.88,1.06
108-118,0.66,0,0,0,52.72,0,0,43.78,4.25,2.36,8.51,257.19,2.22,0.49,0,1.15,0,17.46,1.34,0,949.19,1.09,11.73,29.71,275,3.5,0,0,0,5.47,0,0,3.45,0,83.37,9.34,7.31,6.17,0.9,1.25
120,0,0,0,0,26.99,0,0,12.31,26.28,6.23,0,259.86,0,2.11,0,1.36,0,12.49,1.86,0,608.09,0,2.61,25.45,362.92,2.01,0,0,0,0,0,1.02,0,0,30.59,9.11,7.86,5.89,0,0
