stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,ionocyte,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,427.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.73,323.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15,0,0,0,0,0,0
  7-9,15.76,4.37,0,0,16.24,0,0,0,0,0,0,0,0,0,0,140.15,8.31,0,0,24.26,0,0,0,0,0,0
 10-12,0,4.57,0,0,17.61,0,0,0,0,0,0,0,0,0,0,59.07,0,0,0,22.79,0,0,0,0,0,0
 14-21,0,0,1.96,0,1.09,0,0,0,0,0,0,0,0,0,2.56,13.56,0,0,0,0,3.31,2.64,0,12.18,0,0
 24-34,0,0,1.33,0.96,0.91,0,0,0,0,0,0,0,6.55,5.43,0,31.12,0,0.83,0,0,0,0,0.64,11.22,0,3.74
 36-46,0,0,0,0,4.19,0,0,0,0,0,0,0,0,1.02,0.8,35.71,0,0,0,0,2.47,0,0,4.1,0,0
 48-58,0,0,4.79,0,16.88,0.65,0,0,1.07,0.55,0.56,0,0,0.7,0.95,24.31,0,0,0,0,1.85,0,0,2.4,0,0
 60-70,0,0,0,0,6.88,0,0,0.6,3.2,0,0,0,0,4.01,0,13.53,0,0,0,0,1.06,0,0,5.94,0,0
 72-82,0,0,0.55,0.59,12.01,0,0,0,2.73,0,0,0,0,1.82,0,13.49,0,0,0,0,0,0,0,5.11,0,0
 84-94,0,0,1.02,0,17.21,0,2.16,0,0,0,0,0,0.95,2.4,0,4.93,1.49,0,0,0,1.59,0,0,0,0,0
 96-106,0,0,3.73,0,2.31,3.09,0,0,0,0,0,4.24,0,0,1.03,8.8,0.62,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.97,0,0,0,11.2,0,0,2.23,0,7.59,0,13.38,0,0,0,0,0,0,0,0,6.68,0
120,0,0,1.09,27.7,24.55,0,2,0,33.94,0,0,0,0,26.12,0,35.25,0,0,1.51,0,0,0,0,0,0,0
