stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,52.91,1152.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7,0,0,0,0,0,0,0
  5-6,12.9,902.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.47,0,0,0,9.67,0,0,0,0,0,0,0,0
  7-9,17.41,12,0,4.61,0,0,28.83,0,0,0,7.93,0,0,0,0,0,0,0,201.71,28.87,0,0,94.94,0,0,0,0,0,0,0,0
 10-12,0,0,0,27.83,0,5.53,14.97,0,0,0,0,0,0,0,0,0,0,0,127.58,0,0,0,52.8,0,9.81,0,16.26,0,0,0,0
 14-21,0,0,0,0,2.92,0,0,0,0.97,1.2,1.35,0,0,0,0,1.4,0,1.48,17.91,0,0.89,1.01,2.06,0,0,6.97,0,0.85,15.46,0,0
 24-34,0,0,0.81,0,0.68,0,0.6,0,3.51,0,0,0,0,0,0,1.79,0,0,43.39,0,7.97,0,0,0,0,0,0.72,0.6,38.01,0.83,0
 36-46,0,0,0,0,0.98,0,5.65,0,2.95,0,0,0,0,0,0,3.29,0.65,0.96,42.13,0,3.36,7.13,0,1.9,0,0,0,0,49.75,1.99,0
 48-58,0,0,0,0,0,0,34.2,0.88,0.9,0,0,0,0.76,0,0.37,4.78,0.46,1.59,40.69,0,4.27,5.92,0,0,0,0,0.43,0,21.65,0,0
 60-70,0,0,0,0,0,0.65,30.38,0,2.9,0,0,0,0,0,0,4.41,0,0,52.52,0,1.19,2.15,0,0,0,0,0,0,19.74,0,0
 72-82,0,0,0,0,0.75,1.08,47.23,0,6.78,0,0,0.89,0,0,0,8.69,0,0.53,45.66,0,5.04,2.9,0,0,0,0,0,0,9.53,0,5.81
 84-94,0,0,0,0,0.57,0,35.29,0,2.03,1.99,0,0,0,0,0.83,2.73,2.26,2.12,40.13,0,6.43,3.48,0,1.57,0,0,0,0,3.07,1.23,0.86
 96-106,0,0,0,0,8.48,8.5,19.13,0,0,0.83,0,0,0.57,2.94,0,10.06,0,1.21,15.95,0,7.52,12.77,0,0.71,0,0,0,0,4.57,4.33,0
108-118,0,0,0,0,0,0,29.64,0,4.05,2.56,0,0,0,2.44,0,2.78,0,0.57,18.01,0,3.85,2.66,0,0,0,0,0.42,0,8.72,1.11,0
120,0,0,0,0,3.27,3.6,26.41,0,0,0,0,0,0,0,0,4.75,0,0,14.61,0,2.64,4.17,0,0,0,0,0,0,7.84,0,0
