stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,160.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0
  5-6,6.88,263.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.42,6.15,20.59,0,0,70.56,0,0,0,0,0,23.13,0,0,0,0,0,0,0,0,0,384.64,26.22,0,120.19,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.21,17.29,0,0,33.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.07,5.37,0,23.85,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,11.61,2.37,7,0,0,0,0,1.21,0,1.3,0,0,0,1.84,9.52,0,0,12.56,101.85,0.88,3.17,1.22,0,0,14.34,0,12.2,27.61,0,0,1.08,0
 24-34,0,0,0.62,2.81,0,6.91,0,0,0,0,1.02,0,0,0,0,0.63,0,30.91,0,0,9.72,64.19,3.66,1.9,0,0,0,0,0,3.91,16.6,0,0,3.46,0
 36-46,0,0,0,1.34,0,18.14,0,0,0.8,2.19,0,0,0.63,0,0,0,0,37.94,0,0,7.99,31.2,13.57,0.81,0,0,0,0,0,0,5.33,0,0,1.43,0
 48-58,0,0,0,2.33,0,37.35,0,0,1.38,8.91,0,0,0.5,0,0,0,0,53.47,0,5.99,7.86,33.77,0.94,0.54,3.66,0,0,0,0,0,2.46,0,0.44,4.38,0.9
 60-70,0,0,0,0.58,0,20.86,0.59,0,1.74,2.21,0,0,0,2.23,0,0,0,68.9,0,3.84,4.18,18.06,2.92,1.68,0,0,0,0,0,0,0,0,0.67,16.45,0
 72-82,0,0,0,0.52,0,10.86,0,0,4.44,13.43,0,0,1.38,25.85,0,0,0,94.08,4.5,2.99,5.42,50.74,0.52,4.98,0,0,0,0,0,0,2.59,1.36,1.47,7.21,7
 84-94,0,0,0,2.38,0,14.44,0,0.68,8.04,2.45,0,0,0,48.87,0,0,0,68.3,0,11.07,1.35,33.13,2.43,0.56,0,0,0,0,0.58,0,0,0,1.76,9.35,1.92
 96-106,0,0,0,4.56,0,12.7,0,1.02,2.24,2.61,0.69,0,0,32.61,0.86,0,2.16,76.83,0,3.39,3.45,18.06,3.5,5.86,0,2.9,0,0,0,0,0,0,0,6.28,3.62
108-118,0,0,0,8.36,0,7.74,0,2.29,0,4.68,0.61,0,0,11.12,0,0,0,81.03,0,5.85,1.7,35.75,6.7,2.63,0,0,1.37,0,0,0,0,0,6.55,13.05,1.13
120,0,0,0,2.12,0,14.96,0,0,5.29,5.18,0,0,0,10.69,0,6.51,0,198.12,0,5.9,2,20.98,9.81,15.16,0,0,0,0,0,0,0,0,0,8.86,0
