stage,endocrine_pancreas,epidermis,eye,glial,gut,mesenchyme,muscle,neural,otic,pronephros,spinal_cord,taste,xanthophores
 14-21,0,0.9,0,1.08,0,0.86,1.14,0,0,0,1.06,0,0
 24-34,0,0,0,0,0,0,0,4.94,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.94,0.65,0,1.49,0,1.4
 48-58,0,0.73,0,2.85,0,0,0,0.67,0,0,0,0,0
 60-70,0.57,0,4.51,0,0,0,0,3.08,0,0,0,0,0
 72-82,0,0,3.55,0,0,2.6,0,1.09,0,0.73,0,0,0
 84-94,1.2,0,2.43,0,0,0,0,0,1.1,0,0,2.26,0
 96-106,0,0,0,0,0.7,0,0,7.49,1.34,0,0,0.73,0
108-118,0,1.74,0,0,1.07,2.78,0,4.41,0,1.04,0,3.63,0
120,0,0,0,0,0,0,0,17.21,0,1.74,0,0,0
