stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,20.01,0,0,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.63,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.18,0,0,0,0,0.87,0,1.4,0.85,0,0,0,0,0,0,0,0,2.77,0,0,0.94,257.41,0,6.43,0,0,0,0,1.1,0,1.95,130.32,0,0,0,0,0
 24-34,0,0.96,0,4.24,0,0,53.71,0,0,0,5.75,0,0,13.78,0,0,0,0,0,0,3.71,0,0,0.97,3237.96,4.44,54.3,0.63,0,0,7.62,0,0,0,629.54,0,0,2.06,0,0
 36-46,0,0,0.84,14.73,1.13,0,679.82,0.57,2.79,0,40.63,0,0,21.34,1.76,0,0,0,1.5,1.89,31.34,0,12.28,3.4,11495.74,8.37,48.33,0.8,0,0,13.03,0,3.13,0,1701.7,0,0,10.64,0,0
 48-58,0,2.06,0,35.84,2.28,0,5367.69,5.3,5.17,4.85,141.57,1.69,0,11.04,0.68,0,14.99,3.74,1.19,16.32,103.01,0.64,11.4,17.49,14494.18,1.02,32.89,0.44,0,0.4,24.74,0,1.85,0.92,2481.06,0,0,9.72,0,56.9
 60-70,0,0,0,40.07,7.44,0,22260.96,1.44,20.89,11.42,153.88,1.32,1.31,11.12,6.66,1.79,9.24,3.1,1.73,59.23,140.39,5.03,2.03,14.03,15420.92,6.81,12.7,7.45,0,1.65,49.77,0,21.74,2.01,2563.89,0,0,17.93,0,22.95
 72-82,0,6.48,0,192.81,29.01,0,34360.22,10.75,12.59,40.09,537.89,11.17,0,7.83,32.98,2.91,2.31,5.75,10.03,43.79,519.2,0.6,13.02,21.8,16376.38,13.89,29.45,12.1,0,6.46,25.49,0,3.73,2.03,2268.02,10.07,7.16,24.64,28.78,43.25
 84-94,0,8.88,0,204.31,32.17,0,17818.03,11.49,14.42,21.08,524.63,8.15,0,16.65,12.56,13.14,26.52,1.7,20.13,136.23,515.14,5.77,12.61,34.87,9775.48,1.25,10.29,13.44,0,0,62.36,0,5.19,0.68,1564.24,8.18,14.3,30.7,21.88,11.82
 96-106,0,5,1.07,144.95,56.22,3.02,18483.42,26.33,17.24,20.72,506.16,5.28,0,29.87,29.25,4.23,24.97,11.45,15.59,51.08,467.77,1.91,26.4,14.28,8136.26,8.7,49.2,11.89,0,15.25,56.07,0,4.71,5.77,661.86,12.49,6.55,24.58,6.09,71.34
108-118,0,0,0,179.39,25.16,11.96,15334.22,21.34,3.61,7.9,369.59,3.08,0,32.17,20.26,5.85,11.06,4.53,7.43,35.91,548,2.15,19.79,11.82,11063.83,2.38,28.03,31.71,0,10.59,22.03,0,4.69,0.46,529.91,14.83,15.77,23.01,11.45,12.5
120,0,2.94,0,253.05,20.83,7.39,9920.13,8,44.54,1.58,600.86,10.48,0,2.63,6.99,13.46,2.88,12.56,16.22,9.29,602.45,0,4.76,18.19,15330.56,8.47,37.08,37.05,0,3.68,41.25,0,4.28,10.96,604.71,1.81,0,37.48,29.99,7.58
