stage,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.91,5.87,0,0,0,0,0,0,0,0,0,0,0,2.49,0,4.09,19.12,5.27,0.98,3.01,1.76,0.82,0,0.81,5.72,0,0,0,0
 24-34,0,11.08,2.33,0,4.77,0,1.67,0,0,0,0,0,0.84,1.45,0,0.67,29.88,1.02,0,0,8.54,0.6,0,0.74,10.76,0,6.77,0,0
 36-46,0,0,2.86,0,0,0,0,0,0,0,0,0.72,0,9.38,0,1.82,18.19,0,0,0,11.28,0,0,0,1.04,0,1.51,0,0
 48-58,0,0.4,1.43,0,4.03,0.56,2.43,0,0.88,0,0,0,0,8.55,0,1.04,12.91,0,0,0,4.71,0,0,0,1.1,0,1.17,0,1.17
 60-70,0,9.22,0,0,6.48,1.62,5.06,0,0.75,0,1.86,0.7,0,13.64,0.66,5.46,11.97,0,0,0,17.94,0,0,0,0,0,3.45,0,1.78
 72-82,0,1.7,3.97,0,0,0,3.63,0,0,2.05,4.71,0,2.04,12.75,0,1.18,4.25,0,0,0,4.97,0,0,0,0,1.34,6.01,0,0
 84-94,0,1.04,2.26,0,1.81,0.75,7.61,0,0,1.12,1.76,0,0,14.08,0,0.8,4.51,0.57,0,0,38.83,0,0,0,0,0.59,0,0.81,0
 96-106,0,0.82,0.8,1.93,0.76,0,7.82,0,0,1.12,0,0,0.7,9.55,0,0,2.2,0,0,0,16.61,0,0,0,3.99,0,8.07,0.76,0
108-118,0,7.05,10.31,2.62,4.77,0,4.13,1.01,0,0.91,0.99,0.78,4.86,9.05,0,1.93,1.04,0,2.04,0,20.52,0,0,0,0.42,0,3,1.19,0
120,0,1.69,0,0,1.13,10.08,21.13,0,0,1.36,0,0,0,9.49,0,0,0,0,0,0,19.92,0,2.35,0,0,0,0,0,0
