stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,32.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.28,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,11.47,0,0,0,11.67,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.14,2.31,0,1.7,0,0,0,1.19,0,1,0,0,0,0,0,0,6.87,0,0,4.27,20.92,0,0,0,0,0,0,3.3,0,21.82,25.59,1.71,0,0,0,0
 24-34,0,0,0,0,0,0,7.01,3.29,0,0,0.67,0,4.49,0,0,0,0,6.08,0,3.85,0,0,10.69,22.55,0,0,0,0,0,2.08,0,0.7,6.88,18.82,6.3,0,1.36,0,0
 36-46,0,0,0,0,0,0,2.93,3.76,0,0,2.22,0,0,0,0,0,0,0.94,0,5.12,0,0,2.42,7.56,0,0,0,0,0,0,0,0,1.42,0.6,5.6,0,0.81,0,1.57
 48-58,0,0,0,0,0,0,5.66,3.75,0,0.46,1.18,0,0,0,0,0,0.73,0,0,14.22,0,0,3.44,23.06,0,0,0.69,0,0,0,0,0,0,0,7.59,0,0.85,0,0
 60-70,0,0,0,0.72,0,0,0,0,0,0,6.12,0,0,0,0,0,0,0,0,18.25,0,0,1.72,12.99,0,0,0.62,0,0,0,0,0,0,0,8.31,1.27,7.7,0,0.94
 72-82,0,0,0,1.44,1.19,0,2.25,4.37,1.12,0,18.01,0.64,0,0,0,0,0,0,0,55.95,0,2.31,3.88,19.4,0,0,4.26,0,0,0.59,0,2.99,0,0,0,3.98,0,2.34,0
 84-94,0,2.22,0,2.3,0,0,9.99,1.75,0,0,4.29,0,0,0.85,0,2.52,0,1.67,10.61,30.37,0,3.74,4.33,1.45,0,0,0,0,0,2.73,0,0,0,0,1.92,0.64,3.17,0,2.29
 96-106,0,0,0,4.75,6.47,0,19.54,6.4,0.63,0,17.91,0,0,0.62,0,1.93,1.64,3.49,0,56.35,0.97,0,6.76,19.18,0.71,0,0,0,0,0,0,0,4.52,0,0.87,0,7.82,0.86,0
108-118,0,1.18,0,3.66,6.21,0.52,24.64,3.78,0,0,14.45,2.07,0,0.56,0.53,8.08,0,4.29,10.38,67,0,2.76,1.93,37.78,0.99,0.57,0.44,0,2.89,0,0,0.47,0,0,3.64,2.34,2.93,0,0
120,0,0,0,3.26,0,0,1.09,8.27,0,0,32.78,0,0,6.08,1.42,5.5,0,0,1.51,42.48,1.56,0,0,35.17,0,2.22,2.92,0,7.72,0,0,0,0,0,7.24,0,6.06,1.99,0
