stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.65,0,0,0,0,0,0,0,0,0,26.62,0,0,14.92,0,0,0,0,0,0,0,0,0
 10-12,25.79,0,930.6,0,21.75,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,52.43,0,0,9.75,0,0,12.28,0,0,0,0,0,0
 14-21,0,38.38,1631.62,0,0,0,0,0,0,0,0,470.74,5.02,0,0,0,12.82,0,0,0,46.73,0,0,0,0.92,3.23,1.19,0,2.05,7.33,0,1.24,0
 24-34,0,0,96.62,0,3.46,0,0,0,0,0,0,942.81,0,0,0,0,0,0,0,0.75,27.4,0,0,0,0.83,0,0.83,0,0,9.82,0,35.14,0
 36-46,0,0,17.02,0,1.61,0,0,0,1.56,0,0,1167.5,0,0,0,0,2.9,0,0,0,28.51,0,0.62,0,2.86,0,0,0.67,0,4.47,0,9.02,0
 48-58,0,0,0.57,0,8.09,0,0.81,0,3.17,0,0,979,0,0,0,0,4.75,0,0,0.47,26.99,0,0.44,0,0.5,0,0,0,0,8.88,0,1.67,0
 60-70,0,0,0,0,9.22,0,0,0,1.21,0,0,1084.77,0,0,0,0,2.45,0,0,0,30.59,0,0,0,0,0,0,0,0,0,0,6.94,0
 72-82,0,0.72,13.38,1.16,0,0,2.07,0.59,1.64,0,0,1227.35,0,0,0,0,3.69,0,0,0.67,14.26,0,0,0,1.44,0,8.01,0,0,1.62,0,7.8,0
 84-94,0,1.48,0,0,14.7,0,0,0,0,1.1,0,1844.8,0,0,0,0,1.27,0,0,0.75,5.05,7.07,0,0,2.32,0,0,0,0,0,1.81,10.6,0
 96-106,0,2.16,15.64,0,9.82,0,0,0,6.43,1.54,0,1894.38,0,2.5,0,1.26,11.29,0.71,0.66,5.39,37.82,0.63,0,0,15.25,0,0,0,0,0,0,40.05,0.61
108-118,0,0,14.5,0.72,14.61,0.54,1.12,4.2,4.41,2.88,0,1607.25,0,0,2.33,0,10.41,0,0,3.36,28.62,0,0,0,0.8,0,0,0,0,0,0,28.25,0
120,0,5.69,6.13,0,0,0,0,0,0,0,0,2085.35,0,1.69,0,0,18.11,0,0,0,28.33,0,0,0,1.09,0,0,0,0,10.59,0,17.61,0
