stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal_cord,taste,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0,0,0,2.25,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,88.1,0,0,0,0,0,26.15,0,0
 36-46,0,1.07,0,7.41,0,1.91,0,0,0,0,1.17,287.86,0,0.56,0,0,0,68.78,0,0
 48-58,0,3.34,0,13.01,0,0.8,0,0,0,6.1,0,628.22,0,0,0,0,0,91.01,0,0
 60-70,0.86,0,0,36.26,0,2.35,0,0,0,3.46,0,1027.15,0,0,0,0,0,206.94,0,0
 72-82,0.69,3.03,0,77.69,0.94,5.63,2.57,0,0,3.86,0,1385.22,0,0,0.75,0,0,144.99,1.21,0
 84-94,0,2.06,0,75.93,1.34,9.51,0,1.56,0.67,5.21,0,935.59,7.35,0,0,0,1.94,62.45,0,0
 96-106,1.36,1.36,0.8,68.85,0,8.24,0,0,0,15.04,0,726.6,0,0,0,3.99,0,36.76,0,0.68
108-118,0,5.43,0,67.32,0,4.48,0,0,0,2.77,0,842.35,0,0,0,0,0,28.34,0,0
120,3.99,0,0,62.62,0,8.94,3.07,0,0,2.16,0,1070.69,0,0,0,0,0,34.19,0,0
