stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,67.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0,0,0
  5-6,18.84,120.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,48.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.37,4.99,0,0,66.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,24.27,0,23.77,0,0,0,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1422.2,0,0,0,197.36,0,0,0,33.54,0,0,0,0,0,0,0,0
 14-21,0,0,1.89,34.67,40.85,4.02,0,77.42,0,0,0,16.38,0,0,0.95,0,0,0,91.77,0,2.29,0,10.79,2504.64,0.95,7.94,0,6.86,0,5.2,4.28,0,0,0.84,2152.34,0,0,0,0,0
 24-34,0,0,2.73,28.7,18.99,6.01,0,412.38,0,0,0,12.51,0,0.68,0,0.94,0,0.82,60.33,0,18.75,0,19.95,8382.29,1.56,16.27,2.1,0,0,8.69,2.33,0.7,0,0.62,3393.24,0,0,5.19,0,6.33
 36-46,0,0,0,1.88,5.99,0,0,2287.17,0,0,1.66,41.09,0.72,2.73,0.64,0,0,0,40.06,11.58,25.87,0,23.2,12835.56,15.6,17.75,11.08,0,0,39.07,0,0,7.14,0,3466.37,0,0,6.84,0,8.12
 48-58,0,0,0,0,50.16,15.2,0,3668.56,1.32,11.28,2.43,271.84,0,1.27,4.95,0.46,20.97,0.72,52.34,6.56,72.61,18.53,22.86,11287.07,7.6,7.83,4.92,0,0,16.64,0,0.75,0.38,0,2641.07,0,0,8.39,0,20.38
 60-70,0,0,2.06,0,28.18,12.92,0,4711.97,3.32,2.87,3.51,145.58,0,0,0.7,0,6.5,0,28.01,0,68.03,0.64,4.05,9236.63,0,13.64,13.69,0,0,12.43,0,3.39,0,0,1965.82,0,0.8,3.63,0,7.1
 72-82,0,0,0,5.61,29.79,8.13,0,2513.63,0,4.13,1.88,136.89,3.12,1.33,3.48,0,1.47,5.76,11.3,1.71,86.93,0.66,1.23,5567.45,0,3.51,4.48,8.02,1.77,10.09,0,0,0.7,0,974.77,0.53,1.89,6.56,4.81,17.27
 84-94,0,0,0.81,11.13,27.39,6.22,0,1926.37,0,1.87,0.87,96.36,1.67,4.92,3.57,0,9.67,1.61,44.13,1.76,91.11,0.63,9.99,3607.9,0.89,4.11,6.91,0,0,8.68,0,0,0,0,693.79,0,6.05,9.53,8.64,0
 96-106,0,0,0,19.06,23.83,12.38,0,1388.72,0,0,0,74.57,0,2.43,10.13,0.87,0.76,0.84,35.74,0,46.36,2.35,1.08,2504.64,0,2.91,0,0,0,16.82,0,0,0.68,0,377.42,0.59,6.56,5.13,1.55,16.93
108-118,0,0,0,21.57,39.7,0,0,1625.9,0,2.29,0,78.89,2.78,0,4.04,1.87,4.59,0,60.43,0,57.69,0.62,4.15,3308.69,0,16.31,2.94,0,0,9.31,0,2.88,0,0,247.45,0.68,0,1.51,4.58,0
120,0,0,0,12.39,33.47,14.49,1.8,1726.43,0,15,10.02,293.81,0,0,4.85,1.65,0,0,80.48,4.53,74.49,0,5.46,5905.99,6.66,14.95,0,0,0,10.7,0,0,0,0,291.19,0,1.51,0,8.42,0
