stage,blastomeres,epidermis,eye,fast_muscle,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,78.96,0,0,0,0,0,0,0,0,0,0
  5-6,69.32,0,0,0,0,0,0,0,0,14.25,0
  7-9,0,0,0,0,0,0,15.01,0,9.05,0,0
 14-21,0,1.33,0,0,1.24,1.36,4.23,0,0,1.35,2.22
 24-34,0,0.62,2.15,0,0,0,6.46,0,0,0,0
 36-46,0,1.98,0,0,0,0,12.97,0,0,0,1.36
 48-58,0,0.39,0,0.76,0,0,2.6,0,0,0,0
 60-70,0,0,0,0,0,0,3.03,0,0,0,0
 72-82,0,0,0,0,0,0,1.98,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.67,0,0,0
108-118,0,0,0,0,1.32,0,0,0,0,0,0
120,0,0,0,0,4.13,0,0,0,0,0,0
