stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.57,104.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,40.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,0,0,0,0,8.18,0,0,0,0,0,0,0,0
  7-9,0,0,0,64.42,0,0,0,11.81,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,32.91,0,0,0,8.85,0,9.39,0,0,0,0,0,0,0
 10-12,0,0,0,39.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.76,17.77,0,0,7.7,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,2.7,129.98,0,0,0,0.82,0,0,1.11,0,1.15,0,0.97,0,0,2.95,0,1.1,0,0.98,18.73,0,0.92,3.67,0,1.67,0,0,5.03,0,0,3.63,0,0
 24-34,0,0,0,1.79,180.32,0.62,0,0.69,18.19,0,1.99,1.74,0,0.62,0.64,0,0,0,0,0,2.97,0.62,0,28.87,0,1.46,5.27,0,1.63,0,0.97,4.51,0,0,9.43,0,2.57
 36-46,0,0,0,0.56,149.44,0,0,0.95,32.64,0,1.25,0,0,0.73,0,0.68,0,0,0,0,1.55,1.62,0,33.37,0,0,5.39,0,0,0,0.59,2.19,0,0,10.33,0,3.54
 48-58,0,0,0,0,111.91,0,0,4.42,34.26,0.41,2.44,0,0.39,2.85,0,0,0,1.04,1.49,0,3.63,0.52,0.58,23.82,0,0.44,3.94,0,6.46,0,0,9.05,0,0,7.54,0,8.31
 60-70,0,0,0,0,97.44,0,0,14.63,13.08,0,10.74,2.01,0.59,0,2.06,3.5,1.91,0,0,0,16.61,0.62,0.67,18.54,0,0,1.84,0,0.67,0,0.68,1.59,0,0,4.39,0,0
 72-82,0,0,0.86,0,58.66,0,0,13.42,25.89,0,12.14,6.44,0,0.7,1.36,0.7,0,1.84,1.08,0,15.92,0.52,0,10.04,0,0.74,6.06,0,0,0,3.98,0,0,0.75,3.75,0,0
 84-94,0.62,0,1.04,0,153.08,0,0,2.07,72.87,1.36,1.6,8.16,0.86,0,2.84,1.68,0,4.71,0,0,18.81,1.25,0,16.59,0,0,3.78,0,0.59,0,0.74,1.37,1.69,0.68,12.42,0.78,0
 96-106,0,0,0,0,112.69,5.35,1.07,8.48,32.5,2.73,3.28,6.78,0,2.94,16.34,4.45,0,1.87,1.92,0.57,33.33,1.74,0,3.83,0,1.45,5.36,0,2.74,0,0.6,0,2.1,0,10.91,0,0
108-118,0,0,0.89,0,141.46,0,4.58,3.81,44.99,1.05,7.73,3.75,0,0,15.09,2.02,0,0,0.97,0,25.57,1.53,1.37,10.59,0,4.48,7.5,0,2.07,0,0,0,1.71,0.86,12.03,0,0.65
120,0,0,0,0,121.74,0,0,21.54,32.47,3.94,2.09,6.85,0,0,31.07,0,0,1.11,0,0,4.3,0,0,10.41,0,3.06,2.8,0,0,0,0,2.14,3.1,0,30.08,0,0
