stage,axial,eye,fin.mesenchyme,glial,immune,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,6.35,0,0,0,0,0,0,0,0,14.01,0,0,4.94,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,8.02,0,0,3.25,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.48,0,0,0,0,0,1.08,0.87,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,11.8,0,0,0,0,1.45,0,0,0,0
 36-46,0,1.86,0,2.89,0,0,0,0,0,5.92,0,0,0,0.61,0,0,4.61,0,8.82
 48-58,0,5.3,0,0,0,0,1.26,1.84,0,20.21,0,0,0,0.66,0,0,1.04,0,0
 60-70,0,4.3,0,1.95,0,0,0,2.94,0.89,6.86,1.62,1.82,0,0,0,0,0,0.6,3.16
 72-82,0,10.69,0,2.69,0,0,0,0.82,1.48,4.92,1.09,0,0,3.97,0,0,0,0,0.54
 84-94,0,13.2,1.13,2.58,0,0,0,0.78,0.66,1.92,0,0,0,0.75,0,0,0,0,0
 96-106,0,13.69,1.39,18.67,3.83,0,0,0,0,7.72,4.11,0,0,0,0,0,0,0,1.61
108-118,0,0,0,2.48,0,1.03,0,0,0.53,5.79,1.85,0,0,0,0,0,0,0,0
120,0,0,0,4.07,0,0,0,8.76,0,0,1.15,0,0,0,0,0,0,0,0
