stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,227.83,3687.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.26,0,0,0,0,0,0,0,0,0,0
  5-6,200.81,2810.95,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,89.52,16.8,0,0,24.2,0,72.73,0,0,0,0,0,0,0,0,0,0
  7-9,14.95,0,0,28.88,0,0,13.28,0,0,0,0,18.78,0,0,0,0,0,0,0,0,373.73,0,0,0,70.01,0,0,18.29,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.37,0,0,28.09,0,0,0,0,8.83,0,0,0,0,0,0,0,0,237.08,31.22,0,0,238.72,0,0,9.89,0,0,0,133.89,3.28,0,0,0,0
 14-21,0,0,0,0,10.35,0.83,1.95,0,0,0,0,0.91,1.89,0,0,0,0,0.91,6.33,4.38,37.04,0.85,0,0,0,0,0,0,8.82,0,527.7,339.81,25.98,0,0,0,0
 24-34,4.02,0,0,0,1.35,0,12.05,2.54,0.67,0.7,0,0,0,0,0.64,0.85,0,14.43,1.13,18.93,43.66,0.83,0,0,0,0,0,0,0,0,213.47,30.68,26.52,0,16.86,0,12.87
 36-46,0,0,0,0,0,0,3.73,1.03,1.19,1.64,0.66,0,0,0,0,0,1.66,28.91,2.53,0,53.63,0,0,0,0,0,0,0,0,2.15,52.8,1.38,15.99,0,3.9,0,0.73
 48-58,0,0,0,0,0.91,0,0.92,0,0.49,5.39,4.28,0,0,0.43,0,0,5.45,21.1,4.79,3.01,62.08,0,0.59,0,0,0,0,0,0,0.82,6.02,0,6.76,0,3.53,0,6.09
 60-70,0,0,0,0,0,0.71,9.12,0,0.59,7.63,2.94,0,0,1.96,0,0,4.4,20.37,0.63,4.21,91.35,0,0,0,0,0,0,0,0,3.73,2.75,0,21.76,0,5.76,0,0
 72-82,0,0,0,0,0,0,6.14,0,1,14.59,0.84,0,0,6.28,0,0,13.62,3.85,6.96,1.55,92.16,0,0,0,0,0,0,0,0,2.29,0,0,2.83,0,22.71,0,7.57
 84-94,0,0,1.23,0,0,0,13.43,0,1.25,6.05,17.39,0,0,0.86,1.03,2.32,13.96,16.85,9.19,0.81,63.68,0,1.87,1.69,0,0,1.26,0,0,4.7,10.84,0,1.69,0.62,4.4,1.09,0
 96-106,0,0,1.06,0,0,0,5.42,0,2.03,14.08,11.34,0,0,0.83,0,1.14,3.52,3.61,3.4,0,69.04,0,1.44,0.74,0,0,3.78,0,0,5.17,0,0,4.57,0,5.51,0,3.89
108-118,0,0,2.02,0,2.2,0,13.31,0,0.83,3.19,11.12,0,0,1.58,0,3.06,20.85,8.56,5.26,0.63,69.31,0,0,0.78,0,1.06,0,0,0,2.58,0,0,2.03,0.99,4.87,0,0
120,0,0,4.38,0,0,0,19.01,0,0,2.84,17.07,0,0,0,0,0,4.07,3.33,1.61,0,183.56,0,0,0,0,0,0,0,0,3.95,0,0,0,0,1.33,0,3.28
