stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,90.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.02,0,0,0,0,0,0,0,0
  5-6,10.19,111.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.47,0,0,0,0,0,65.79,0,0,0,0,0,0,0,0
  7-9,19.7,30.02,0,0,0,0,0,23.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509.66,27.77,0,0,100.6,0,7.64,0,0,0,0,0,0,0,0
 10-12,0,15.57,0,22.96,0,0,0,30.05,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,423.36,72.79,0,0,91.76,0,0,14.35,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,11.01,4.15,0,2.08,0,0,0,0.92,0,1.39,0,0,0,0,0,1.95,6.4,0,0,4.16,47.06,11.22,0,0,0,0,3.96,0,0.89,0.9,21.91,0,0,2.98,0
 24-34,0,0,0,0,6.92,0.81,0,10.82,0,0.62,1.15,7.24,0,0,0.69,0,0,0,0,0.98,16.77,0,0,9.28,237.53,3.16,0.64,2.94,0,0,2.89,0,0,0,69.25,0,0,37.69,0
 36-46,0,0,0,0,3.65,0.76,0,1.82,2.56,0,0,19.61,0,0,0,12.75,0,0,0,0.63,32.23,0,0,3.55,218.46,0.61,0,0.67,0,0,0,0,0,0,79.91,0,0,31.1,1.07
 48-58,0,0,0,0,2.43,0,0,16.52,0,0.66,0.57,25.86,0,0,1.03,9.59,0,7.23,0,0,31.86,0,0.53,6.06,137.33,1.54,0,0.5,0,0.39,3.99,0,2.89,0,54.34,0,0,22.43,8.37
 60-70,0,0,0,0,0,0,0,26.38,0,0,0,12.71,0,0,2.87,14.67,0,2.45,0,0,22.57,0,1.34,0.99,63.48,0,0,0,0,3.93,0,0,0,0,41.43,0,0,16.16,3.58
 72-82,0,0,0,0,7.33,0,0,4.12,0,0,1.84,37.01,0.67,0,0.66,5.9,0.53,0.59,0,0,38.31,0,4.95,1.3,52.19,0,0,1.58,0,4.65,0,0,0,0,14.73,0,2.02,47.41,2.01
 84-94,0,0,0,0,5.28,2.86,0,2.91,0,1.23,6.59,17.46,0,0,1.8,6.77,0,2.52,0,0,25.06,0,2.17,6.34,22.77,0,0,0,0,0.6,4,0,0,0,10.68,0,0,25.96,0
 96-106,0,0,0,0,4.14,0.59,0.59,5.51,0,1.31,0.71,35.72,0.7,0,3.16,10.32,0,2.15,1.69,0,37.02,0,6.16,7.15,40.25,0,0,1.94,0,2.9,4.68,0,0,0,0.95,0,0,14.55,0
108-118,0,0,0,0,9.83,1.69,0.6,6.97,0,3.51,0,12.06,0.48,0,0,6.25,0,7.71,0,0,17.01,4.88,6.84,2.11,32.19,0,0,0,0,0,0.51,0,0,0,0,0.46,0,18.19,0
120,0,0,3.9,0,12.09,0,0,1.08,0,2.58,0,21.73,1.32,0,0,11.38,0,2.93,0,0,37.16,0,0,0,35.91,0,0,0,0,0,0,0,0,0,9.26,0,0,11.75,0
