stage,blastomeres,epidermis,eye,fin_mesenchyme,immune,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,82.37,0,0,0,0,0,0,0,0,0,40.09,0,0,0
  5-6,70.37,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.23,4.91,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,24.92,0,0,15.59,0,0,0,0
 14-21,0,0,0,0,0,0,13.99,0,0,0,0,0.99,0,0
 24-34,0,0.61,0,0,0,0,7.79,0,0.89,0,1.2,0,0,0
 36-46,0,0,0,0,0,1.74,16.18,0,0,0,0,2.47,0.6,0.79
 48-58,0,0,0.94,0,0,0.39,3.49,0,0,0,0,1.2,0,0
 60-70,0,0,0,0,0,1.05,9.28,0,0,0,0,0,0,0
 72-82,0,0,0.7,7.63,0,0,4.07,0,0,0,0,0,0,0
108-118,0,0,0,0,0.49,0,2.24,0,0,0,0.82,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0
