stage,blastomeres,epidermis,eye,glial,gut,liver,mesenchyme,muscle,neural,paraxial.mesoderm,pgc
  3-4,22.07,0,0,0,0,0,0,0,0,0,0
  5-6,29.5,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.02,0,0,0,0,0,9.29,9.17,0
 10-12,0,0,0,0,0,0,0,0,10.17,0,5.95
 24-34,0,0,0,0,0,0,0,0.79,0,0,0
 48-58,0,0,0,0.75,1.15,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.79,0,0.81,0,0,0
 84-94,0,0.86,0,0,0,0,0.83,0,0,0,0
