stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,17.01,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.89,0,0,0,0,0,0,0
 24-34,0.7,0,0,0,0,0,0,0.6,0,5.01,0,0,0,0.7,0,0.63,0
 36-46,0.89,0.76,6.95,0,0,0,0,0,0.72,6.55,0.92,0,0,0.85,0,1.67,0
 48-58,0,0.78,0,0,0,0,0,0,0,11.53,0,0,0,2.72,0,1.49,0
 60-70,0,2.86,1.33,0,2.92,0,0,0,0,7.83,0,0,0,2.89,0,1.82,0
 72-82,1.36,8.6,0,0.56,1.07,0,0,4.37,0,13.03,0,0,0,2.84,0.53,3.58,0
 84-94,1.42,4.86,0,0,1.33,1.36,0,0,0,11.09,0,0,0,0.72,0,0,0
 96-106,0,0,0,0,0,0,0.65,0.71,0,9.76,0,0.6,0,0,0,4.35,0
108-118,0,1.82,0,0,0,0,0,0,0,10.29,0,0,0,6.38,0.76,0,1.99
120,12.12,5.27,1.25,0,0,1.12,0,7.49,4.34,59.25,0,0,0,9.71,12.14,0,0
