stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature
  3-4,41.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.89,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,25.87,0,1.83,0,0,0,2.83,1.07,0,17,0,0,0,0.9,0.99,0.98,0,0,0,0,12.69,1.15,1.91,0,0,33.63
 24-34,0,1.5,0,1.82,0,4.33,0.7,0,1.06,0,3.96,0.62,51.11,0,1.34,0,3.84,0,16.92,0,0.69,0.67,0,16.65,10.94,0,2.09,0,193.46
 36-46,0,0,0,0.58,0,1.24,0.56,0,2.02,0.76,0,0.73,29.52,0,0.62,1.49,0.58,0,5.68,0.63,2.28,0,0,8,23.41,0,0,0,98.96
 48-58,0,1.05,0,6.79,0,2.47,2.61,1.56,5.66,0,0,0,1.83,0,0,2.07,0.5,0,16.17,0,0,0.37,0,2.6,9.45,0,2.67,0,53.33
 60-70,0,0,2.71,0,0,6.49,0,0,4.07,0,0,1.32,11.41,0,0,4.06,0,1.69,12.44,0,0,0,0,0,4.08,0,1.58,0,39.82
 72-82,0,0,0.49,0,0,4.5,0,3.05,6.56,0,5.77,0.99,4.7,0,1.17,8.16,0,0,1.6,0,0,0,0,0,10.78,0,0,0,46.46
 84-94,0,0.59,0,0,0,18.43,0,0,35.59,0,1.31,2.2,4.84,0,2.91,3.48,0.64,0,7.37,0,1.33,0.81,0,0,28.1,0,0,1.68,107.16
 96-106,0,0,0,3.16,2.69,4.39,0,0,19.47,0,2.03,4.09,1.6,1.32,3,10.09,0.7,3.4,6.68,0,1.22,2,0,3.78,12.27,0,0,0,85.89
108-118,0,0.41,11.77,0,2.66,8.49,0,1.07,34.33,0,1.81,4.6,13.5,0,6.85,5.37,0,0,7.82,0,0.46,2.56,1.8,1.57,10.55,0,0,0,105.98
120,0,0,0,0,1.91,11.07,0,0,33.21,0,0,13.54,3.37,0,6.68,0,2.21,0,7.22,0,0,0,0,1.01,23.68,0,0,0,100.5
