stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  5-6,16.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.56,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.01,0,0,0,0,0,22.08,0,0,0
 24-34,0,0,1.28,1.21,0,7.75,0,0,0,13.48,0,0,0,0,0,0,0,0,0,6.39,0,503.79,0,0,0,1.59,8.3,126.98,0,1.78,0
 36-46,0,0,0.94,0,0,11.7,0,0,0,44.88,0,0,0.71,0,0,0,0,0,0,3.04,0,1178.34,0,1.31,0,0,1.97,173.95,0,0,0
 48-58,0,0,3.11,0,0,62.13,0,0,0,43.54,0,0,0,0,0,0,0,0,0,5.38,0,1747.03,0,2.08,0.44,0,0,242.72,0,0,0
 60-70,0,0.57,0,0,0,84.97,0,1.31,0.67,26.38,0,0.66,0,0,0,7.43,0,0,0,23.84,0,2285.4,0,0,0,0,1.64,282.62,0,0.84,0
 72-82,0,0.69,3.84,3.29,0,131.29,2.3,0,0.67,43.45,1.33,0,0,0,0,0,0,0.82,0,9.9,0.68,1804.16,0,2.56,0,3.53,5.17,170.46,0,0,6.29
 84-94,0,0,5.88,0,0,99.22,0,0,0,42.28,0,0,0,0,0,0.67,0.69,0,1.25,27.42,0,1225.1,0,1.37,7.97,2.8,0.91,104.81,0.83,0,0
 96-106,0,0.63,5.53,0.69,0,90.95,11.32,1.21,1.65,17.85,0,0,0.78,0,0,0,0,0,0,16.02,2.68,936.72,0,0.61,0.79,0,1.46,44.95,0,0,0
108-118,0,0,2.2,0.69,2.73,52.77,1.3,0,2.55,42.33,0,0,0,0,0.79,0,0.65,0,0,10.87,2.21,969.69,0.47,1.07,0,3.23,0.62,22.81,0,0,0
120,0,0,2.07,0,0,59.49,0,0,0,27.79,3.87,0,0,1.57,0,0,0,0,0,17,0,1314.95,0,0,0,0,4.89,80.42,0,10,0
