stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,7.76,101.03,33.01,0,21.45,0,1.17,0,10.1,6.41,0.98,2.04,0,0.98,0,0,0,0.94,25.29,0,0,25.71,327.64,3.55,0,2.73,3.86,0,21.72,27,5.01,62.69,70.39,0,0,1.88,0,0
 24-34,0.9,2.07,34.97,1.32,0,49.23,0,0.73,0.63,9.27,3.45,0,4.07,3.34,3.37,0.7,0,0.65,0.7,49.86,0.63,0,15.37,383.23,0.69,3.98,7.39,0,0,47.48,0,1.47,3.93,80.6,0,0,7.04,0,0
 36-46,0,0.63,19.91,1.28,0,30.19,0,13.94,1.66,9.03,0,0,0.57,1.82,0,0,0.57,1.34,1.16,31.93,0.59,0.72,3.76,332.97,0,0.66,7,0,0,31.82,0,1.01,0,38.79,0,0,7.33,0,1.38
 48-58,0,0,7.09,0,0,71.73,0,0,1.5,12.88,0,0,0,4.74,0.5,0.43,1.27,0.52,4.42,32.12,2.72,3.36,7.26,254.76,2.08,0.86,1.77,0,0,16.22,0,0,0,29.82,0,0.4,3.07,0,7.79
 60-70,0.86,0,18.43,0,0,66.64,0,5.68,0,13.58,1.43,0,0.66,17.09,0,0,0,0,1.24,31.3,2.65,1.58,4.25,100.19,0,0,3.18,0,0,11.84,0,0,0,14.39,0.81,0,2.93,0,0
 72-82,1.44,0,12.29,7.79,0,69.4,0,0.69,4.06,23.06,4.83,0,0.91,19.06,2.17,0.76,4.44,0,0,35.43,2.53,0.78,2.73,81.69,0,1.34,4.01,0,0,8.79,0,0,0,2.1,0,0.52,2.38,5.77,2.08
 84-94,3.17,0,25.03,3.13,0,91.55,0,8.9,1.88,26.87,6.46,0,0,40.19,4.22,1.89,0,10.97,0.99,39.96,5.64,0.76,4.41,82.11,0,3.36,2.6,0,0,12.14,0,1.49,0,3.05,4.72,0,0.58,2.54,0
 96-106,0.95,0,24.85,0,1.07,57.65,0.58,0.58,0,11.45,4.05,0,0,28.6,2.15,0,0.88,0,0,22.83,2.33,1.17,0,50.73,0,3.46,4.5,0,6.42,40.03,0,0,0,2.54,0,1.24,0.59,0,0.73
108-118,0,0,50.25,3.63,13.14,37.09,0,11.37,3.9,24.55,4.79,0,1.81,35.86,2.83,3.9,1.17,1.37,0,51.56,0,7.9,8.4,86.63,0,1.6,13.2,0,0,15.91,0,0,0,4.3,0,0.99,4.81,0.91,0.82
120,0,0,16.26,17.22,0,24.67,0,4.53,0,29.72,7.05,0,4.91,45.48,1.94,0,1.88,0,0,23.94,0,14.27,0,116.76,0,0,3.28,0,0,10.49,0,0,0,19.88,0,0,3.88,0,0
