stage,axial,blastomeres,endoderm,eye,fast.muscle,fin.epithelia,gut,hatching.gland,heart,iridophores,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord
  3-4,272.75,5572.38,0,0,0,0,0,0,0,0,0,0,0,257.83,0,0,0,0
  5-6,210.19,2565.23,0,0,0,0,0,7.31,0,0,126.27,0,24.74,23.48,0,0,0,0
  7-9,49.67,39.21,29.71,115.65,0,0,0,18.94,0,0,878.96,12.28,227.26,0,19.05,0,0,0
 10-12,0,0,34.37,34.27,0,0,0,4.53,0,0,186.55,9.73,70.76,0,5.33,0,7.77,0
 14-21,0,0,0,0,0,0,1.28,0,1.13,0,4.9,0,0.97,0,0,2.47,4.05,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0
 60-70,0,0,0,1.52,1.01,0,0,0,0,1.88,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0
