stage,axial,blastomeres,erythrocytes,eye,fin.epithelia,glial,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pronephros,vasculature
  3-4,11.51,77.03,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.94,0,0,0,0,0,8.03,0,0,0,0,0
  7-9,0,0,0,6.47,0,0,0,24.53,0,4.3,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.44,8.35,0,8.3,0
 14-21,0,0,0,0,0,0,0,1.04,0,0,0,0,0
 24-34,0,0,0.66,0,0,1.45,0,0.79,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.87,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.62,0,0,0,0,0,0
 60-70,0,0,0,0,0.59,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.38,3.48,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.52,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,2.45
