stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,37.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.36,0,9.74,0,0,0,15.43,0,0,0,20.73,0,0,0,0,0,0,0,0,0,0,0,121.75,6.27,0,0,74.41,0,0,0,12.75,0,0,0,0,0,0,0
 10-12,4.79,0,3.24,0,0,0,10.97,0,0,0,9.52,0,0,0,0,0,0,0,0,0,0,0,83.3,8.76,0,0,122.2,0,0,0,8.97,0,3.24,0,0,0,0,0
 14-21,0,0,0,23.89,4.47,0,10.87,0,0,0,1,0,0,0,0,0,0,0,10.73,0,0,1.93,45.57,5.85,0,0,0,0,0,13.08,1.41,4.03,14.1,6.99,0,0,0,0
 24-34,0,0,0,0,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58,0,0,0,0,0.66,0,0,0,0,0.6,5.75,0,0,0,0.76
 36-46,0,0,0,3.4,0,0,4.59,0,0,0,0,0,3.36,3.26,0,0.7,0,1.24,5.15,0,0,0.96,59.76,0,0,0,0,5.39,0.91,0,0,0,2.07,8.63,0,0,1.74,1.12
 60-70,0,0.6,0,2.54,0,0,236.05,0.65,47.06,1.05,0,0.6,3.8,5.64,2.26,1.46,0,5.99,46.05,0.58,0.95,2.4,306.35,0.64,9.79,1.48,0,10.24,0,0,3.18,0,0,62.12,0,1.19,6.43,10.14
 72-82,0,0,0,2.47,0,0,18,0,0,0,0,1.72,0.59,0,1.97,0,1.05,0,7,0,0,0,52.63,0.89,0,0.91,0,2.1,0,0,0.73,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,12.09,0,1.2,0,0,0,2.83,0,0,0,0,1.11,11.63,0,0.58,0.71,17.08,0,1.79,0,0,0,0,0,0,0,0,0,0,1.31,1.31,0
 96-106,0,0,0,1.94,0,0,9.72,1.03,1.48,0.6,0,0,1.62,0,0,0,1.98,0,4.35,0,0.67,0.65,18.87,0,6.89,1.06,0,2.38,0,0,0,0,0,1.25,0.88,0,0,0
108-118,0,0,0,5.67,0,0.48,34.04,0.99,8.77,0,0,0,4.95,3.79,0,0.84,0,0,10.54,0,0,5.82,73.87,0.43,0.53,3.78,0,5.4,0,0,0,0,0,3,0.71,0,3.88,15.97
