stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,115.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,290.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.97,0,0,12.23,0,0,0,0,0,0
 10-12,0,0,5.27,0,0,0,0,0,0,0,0,0,0,0,20.22,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.09,0.92,0,0,1.02,0,0,0.96,6.02,0,1.77,28.36,7.78,0,0,0,1.1,2.09,19.8,0,0
 24-34,0,0,0,1.79,0.96,0.62,0,1.67,0,0,0,4.7,0,1.31,25.53,1.27,0.78,0,0,0,0.71,5.66,0,0
 36-46,0,0,0,0,2.04,0,0,4.11,0,0,0,10.7,1.42,3.42,174.87,3.15,0,0,0,0,0,31.4,0,0
 48-58,0,0,0,0,13.79,0,0,2.92,0,0,0,7.29,0,0.7,144.73,1.13,0,0,1.3,0,0,30.46,1.08,0
 60-70,2.52,0,0,0,3.54,0,0,2.51,0,0,0,3.69,0,0,60.7,8.84,0,0,0,0,0,9.23,0,0
 72-82,0,0,0,0.69,17.1,0,0,2.62,0,0,0,5.71,0,0,101.38,0,0,0,0,0,0,14.31,9.44,0
 84-94,0,0,0,8.75,10.48,0,0,0.64,0,0,0,12.15,4.04,0,91.74,3.35,0,0,3.17,0,0,8.48,0,0
 96-106,0,0,0,0,19.31,0,0,2.44,0,0,0,8.54,0,0,38.94,1.78,0,0,3.91,0,0,23.25,0,3.11
108-118,0,0,0,5.72,17.81,0.78,1.1,2.91,1.06,0.47,0.45,6.7,0,0,43.3,4.76,1.93,0,0.94,0,0,3.84,1.24,0
120,0,0,0,1.13,16.04,0,0,18.82,0,0,0,19.39,0,0,93.69,1.12,0,0,0,0,0,0,0,0
