stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,liver,mesenchyme,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal.cord,taste,xanthophores
  3-4,56.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,4.75,0,1.09,0,0
 36-46,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,15.8,0,0,0,0
 48-58,0,0,4.65,0,0,0,2.79,0,0,0,0.57,0,0,0,0,13.9,0.46,0,0,0
 60-70,0,0,0.9,0,0,0,0,0,1.23,0,0,0,3.73,0,0,9.76,0,0,0,0
 72-82,0,0,1.06,0,0,4.28,0,0,15.64,4.65,0,0,6.42,0,0,8.34,0,1.38,0,0
 84-94,0,0,2.57,0,0,6.87,0,0,43.49,18.86,2.88,0,6.6,0,0,1.48,0.91,0,2.5,0
 96-106,0,1.07,0,0,0.62,16.27,0,2.18,136.21,0,3.91,0.84,36.6,2.74,0,3.45,0,0,0,1.44
108-118,0,0,1.79,2.07,0,0.44,0,0,103.65,1.16,2.49,0,23.1,0.86,1.49,3.81,0.42,2.15,0,0
120,0,0,0,0,0,0,1.05,0,70.09,0,3.03,0,54.35,0,0,1.66,9.4,0,2.31,0
