stage,epidermis,erythrocytes,fin_epithelia,neural,periderm
  7-9,0,0,0,3.41,0
 24-34,0,0,0,0.79,0.93
 60-70,0,0,0,1.2,1.26
 72-82,0,0,0.8,3.46,0
 84-94,0.57,0,0,0,3.71
 96-106,0,7.44,0,0.63,0
108-118,1.4,0,0,0,2.2
