stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,ionocyte,mesenchyme,mucous,neural,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord
  3-4,0,0,0,0,0,0,0,0,0,0,0,23.39,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,77.57,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,37.86,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,28.63,0,19.61,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0.82,6.05,0,0,0
 24-34,2.33,0,0,0,0,0.63,0,0.66,0,2.62,0,43.87,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,5.98,0,38.1,0.6,6.83,1.21
 48-58,0,0,1.03,0,0.45,0,0,0,0,8.01,0,28.17,0,0,1.45
 60-70,1.07,0,0,0,2.13,0,0,0.9,0,7.44,0,18.63,0,0,3.47
 72-82,1.51,0,0.69,0,0,0,0,1,0,18.09,0,17.66,0,0,0
 84-94,0,0,13.41,0.57,0,0,0.92,0,0.86,0.88,0,59.58,0,0,0
 96-106,0.62,0,0,1.32,0,0,0,0,0.71,5.79,0,43.02,0,0,0
108-118,0,1.65,0,0.96,0,0,0,0,0,7.48,0,21.09,0,0,0
120,0,0,0,1.22,0,0,0,0,0,0,0,32.96,0,0,0
