stage,endocrine.pancreas,epidermis,gut,ionocyte,lateral.line,melanocytes,mesenchyme,neural,olfactory,periderm,taste
 24-34,0,0,0,0,0,0,0,0,0.76,1.29,0
 36-46,0,12.88,0,0,0,0,0,0.58,2.03,2.88,0
 48-58,0,0,0,0,0,1.85,0,0,0,2.75,0
 60-70,0,1.23,0,0,0,7.12,0,1.69,3.41,0,0
 72-82,0.87,0,1.8,0,0,0,0,0,2.21,0,1.51
 84-94,0.56,4.03,0,0,0,0,0,0,0,1,0
 96-106,0,0,1.5,0.7,0.92,0,0,0,4.76,1.2,0
108-118,0,0.72,0,0,0.41,0.97,2.02,0,0,0,0.42
120,0,5.94,2.37,0,0,0,0,0,0,11.12,0
