stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  5-6,23.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,5.29,0,0,0,0,7.01,0,0,0,0
 14-21,0,0.93,0,0,1.11,0,0,0,0,0,0,0,0,0.8,0,30.76,0.81,0.84,0,0,0,14.93,0,0,0
 24-34,0,0,7.58,0,0,0,1.36,0,0,0,0,0,0,0,0,149.73,0,1.71,0.63,0,0,32.63,0,0,0
 36-46,0,0,2.77,0,1.53,0,2.89,0,0,0,0,0,0,2.71,0,372.61,0,0,0,0,0,61.98,0,0,0
 48-58,0,0,3.15,0,13.48,0,33.03,0,0,0,7.73,0,0,2.49,3.25,690.91,0,2.36,0,0,0,54.31,0,5.49,6.84
 60-70,0,0,1.33,0,18.5,0,16.19,0,0,0,0,0,0,6.83,0,682.57,0,3.69,0.65,0,0,68.8,0,0,0
 72-82,0,0,1.34,0,37.42,0,11.6,0,0.62,0,0,0.69,0,10.12,0,1038.05,0,0,1.32,0,0.68,101.08,0,0,0
 84-94,0,0,2.32,0,24.53,0.63,17.96,0,0,0,0,0,0,5.52,2.99,684.05,0,0,3.11,1.3,0,22.72,0,0,0
 96-106,0,0,2.74,0,43.23,0,12.83,0.86,0,0,0,0,0,10.48,0,535.02,0,0,3.91,1.55,0,19.98,0,0,0
108-118,0,0,13.73,1.73,25.65,0,7.46,0,1.01,2.13,0,0,0,11.72,0.51,467.59,0,0,2.03,3.05,0,19.87,0.43,0,0
120,0,0,3.65,0,48.21,1.21,19.32,0,0,0,0,1.6,1.5,6.84,0,602.57,0,0,9.96,0,0,0,0,0,0
