stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,154.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.35,63.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.17,0,0,0,0,0,0,0,0,0,0
  7-9,6.22,0,0,9.61,0,0,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.13,3.96,0,0,5.87,0,0,5.5,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.36,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0,0,77.84,0,0,0,26.49,0,0,8.74,0,0,0,0,0,0,0,0,0
 14-21,0,1.36,1.89,0.95,9.31,0,3.68,0,0,0,0,2.48,0.96,0,0,0.81,0,0,0,0.85,4.08,0,0,3.16,43.96,0,1.37,0,0.99,0,0,0,1.83,0,1.08,16.75,0,0,3.01,0,0
 24-34,0,0,0.75,0.81,2.96,0.66,9.82,0,1.37,0,12.95,3.3,0,0,11.05,6.45,0,0,0,4.89,25.25,11.63,0,18.25,226.75,0.62,1.85,0.74,0,0,6.69,0,0,0.94,0.62,73.16,0,0,2.17,0,4.49
 36-46,0,0,0,0,2.11,0.6,23.79,0,1.04,0.63,34.58,0,0,1.05,33.74,6.58,0.65,0,0,9.94,34.33,0,1.74,3.7,266.74,0,2.54,0.8,0,0,3.73,0,0,0.58,0,57.82,0,0,0,0,13.01
 48-58,0,0,0,0,13.17,0,70.62,0,2.6,11.4,58.29,0,0,0,28.21,7.9,7.08,0,0,21.32,42.42,1.73,0.56,3.2,228.76,0,1.71,8.85,0,0,4.44,0,0,0,0,39.1,0,0.84,11.76,0,4.87
 60-70,0,0,0,0,13.8,0,154.95,4.75,0,4.2,47.5,0,1.75,0,26.81,3.61,7.57,0.73,0,0,27.47,0,1.82,6.63,246.97,0,1.47,7.46,0,1.08,4.86,0,0,0,0,53.7,0,0.65,1.52,0,4.42
 72-82,0,0,0.93,0,17.06,5.25,168.8,0,1.86,10.19,91.93,2.8,0,0,29.37,6.51,6.41,1.34,1.61,3.91,87.44,0,2.12,3.71,317.1,0,1.28,5.21,0,8.64,0.79,0,0,0,0,38.88,0,0.72,10.76,2.95,19.32
 84-94,0,0,0,0,9.17,0.88,91.8,0.56,0.67,5.83,91.78,2.15,0,2.41,49.54,8.99,0.74,0,3.41,4.13,56.14,0,4.32,7.69,165.53,0,11.59,1.62,0,2.65,12.41,0,0,0,0,16.58,1.34,0,9.59,5.54,7.25
 96-106,0,0,0.99,0,10.67,2.16,132.44,0,0,2.32,85.46,2.06,0,1.98,35.39,10.65,6.09,0,0,0,79.78,0,0,2.02,284.52,0,0,0,0,1.04,1.25,0,0,0,0,9.46,0,3.82,19.14,2.85,0
108-118,0,0,0,0,10.11,0.9,66.78,0,2.1,9,92.1,3.92,0,0,44.41,13.35,14.92,0.53,3.66,13.17,43.87,0.77,8.15,4.22,242.3,0,3.32,7.81,0,7.75,3.08,0,0,1.06,0,3.39,0,0.41,11.36,5.84,8.17
120,0,0,0,0,9.42,0,34.05,0,2.41,2.8,92.29,0,0,0,90.96,25.39,20.75,0,0,8.73,59.23,1.05,0,2.53,484.15,3.31,31.32,12.47,0,12.66,5.78,0,0,0,0,14.47,0,0,20.23,12.27,0
