stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,290.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.56,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.98,755.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.54,25.17,0,0,15.73,6.57,0,0,0,0,0,0,0,0,0,0,0
  7-9,59.56,30.33,0,25.71,0,0,189.59,0,0,0,0,0,31.42,0,0,0,0,0,0,0,0,0,0,1062.78,52.54,0,0,491.43,0,22.22,0,0,0,0,0,0,0,0,0,0
 10-12,0,44.74,0,130.57,0,12.34,165.97,0,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0,1141.25,13.56,0,0,349.86,0,5.47,0,30.19,0,12.96,0,0,0,0,0,0
 14-21,0,0,1.32,10.85,56.09,16.61,28.38,0,0.87,0,18.21,0.85,0,1.15,0.92,0,0,0,0,0,26.13,0,36.52,408.31,4.62,0.83,0.94,10.77,1.57,0,34.99,1.86,12.98,113.45,137.09,0,0,3.7,0,0
 24-34,0,0,0,1.77,25.04,1.22,43.75,0,1.6,1.71,12.33,3.24,1.4,1.02,0,0,0,0,0.65,0,79.66,0,27.69,798.22,1.36,3.73,5.36,0,3.12,0,1.19,0,13.37,37.24,179.98,0,0,25.61,0,6.17
 36-46,0,0,0,0.56,34.78,0,66.34,0,1.17,0.62,31.18,0,0,0.56,0,0,1.36,0.89,0,1.83,67.94,0.8,14.42,640.44,1.85,0.6,9.85,0,0,0,0,13.52,12.73,0,181.76,0,0,28.21,0,3.6
 48-58,0,0,0,0.42,6.82,0,117.55,0.62,1.9,0.87,67.37,0.61,0,0,6.28,0,0,1.04,1.84,3.28,96.57,1.68,21.76,336.74,0.64,0,5.78,0,2.77,0,0,0,1.33,0,112.07,0,0,19.16,0,1.78
 60-70,0,0,0,0,17.14,1.4,92.86,1.76,0,1.67,97.2,5.8,0,0,11.6,0,1.86,0,0,0,93.96,3.45,5.78,146.27,4.99,1.94,16.4,0,0,0,0,0,1.58,0,55.37,0,0,12.38,0.73,3.17
 72-82,0,0,1.13,0,5.63,2.69,82.24,0.5,0,3.48,138.16,0.99,0,1.4,4.25,0,4.35,4.6,0,0,127.96,13.67,16.59,116.03,0,0,10.24,0,0,0,0,0.61,0,0,6.33,1.84,0.49,33.29,1.08,0
 84-94,0,0,0,0,11.82,0,56.31,2.42,0,0.87,101.44,5.51,0,3.88,8.47,1.08,15.16,0,0,0,87.66,4.22,11.81,81,2.48,1.84,4.04,0,0,0,0,0,0,0,15.17,0,0.64,32.95,3.29,4.19
 96-106,0,0,0.88,0,5.49,0,58.07,5.49,0,1.71,124.48,1.93,0,4.27,16.68,0.56,4.06,3.21,0,3.42,119.31,5.83,4.71,85.03,0,0.69,1.32,0,0.86,0,0,0.57,0.57,0,2.16,0.8,2.53,55.22,0.76,6.89
108-118,0,0,1.03,0,5.24,0,41.32,11.25,1.29,4.75,157.1,1.15,0,0.63,12.65,0.71,7.83,0,0.7,10.54,86.77,0.5,11.01,91.45,0,0,5.96,0,1.38,0,0,0.52,0.45,0,1.75,2.38,0,44.61,0,1.14
120,0,0,0,0,0,0,53.06,16.14,0,0,147.64,2.27,0,7.34,16.09,0,0,0,0,0,102.6,0,12.73,100.8,2.88,3.27,0,0,0,0,0,0,1.6,0,0,0,0,37.5,20.07,0
