stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,18.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.07,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,11.08,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.49,0,0,0,4.31,0,0,0,0,0,5.74,0,0,0,0,0
 14-21,0,0,0,0,28.65,0.82,0,0,0,0,0,2.16,0,0,2.3,0,0,0,0,11.42,0,55.8,0,0,40.68,55.28,47.06,0,6.02,0,0,0,2.43,0,0,107.52,11.05,0,2.95,0,0
 24-34,0,0,0,4.48,30.67,0,0,6.27,0,3.01,0,5.57,0,0,24.1,0,0,0.63,0,0,6.94,214.48,0,0.81,131.07,200.89,109.35,0,14.55,0,0,7.63,0,0,0,5,44.04,0,31.67,0,0
 36-46,0,0,1.03,0,19.38,0,0,5.35,1.38,0.74,1.52,4.1,0,0,11.04,0,0,1.49,0,0,3.24,372.12,0,2.77,155.77,151.7,120.27,0,10.89,0,0,42.55,0,0,0,0,37.15,1.23,52.7,0,3.99
 48-58,0,0,0,0,34.91,0,0,29.75,2.17,2.52,3.72,12.66,0,0,4.35,0.52,0.38,1.98,0,1.41,0,506.19,0,7.62,164.41,153.57,153.66,0,15.65,3.66,0.61,17.99,0,0,0,0,22.66,0,85.09,0,2.93
 60-70,0,0,0,0,46.88,0,0,81.97,0.64,12.98,3.39,42.45,0,6.08,16.17,0,1.1,2.76,0,0,2.36,781.27,1.43,9.09,114.46,155.43,105.04,0,30.61,0,0.63,26.22,0,0.6,0,0,27.28,10.39,46.3,8.91,1.66
 72-82,0,0,0,0,26.67,8.5,0,175.14,13.28,4.61,14.58,53.28,0,0,21.25,0.53,0,1.16,0,1.05,18.44,1347.7,2.38,34.25,140.41,256.02,79.95,0,48.82,1.13,9.68,15.16,0,0.53,1.5,0,12.49,39.83,73.35,43.66,8.11
 84-94,0,0,0,0,64.5,1.15,0,165.93,4.34,21.26,1.44,33.65,0,3.9,15.66,0,0.61,1.58,0,2.01,0,1135.12,0,46.09,95.72,236.14,120.04,0.83,63.94,0,1.53,36.2,0,0.56,0,0,25.47,17.38,83.47,39.02,0
 96-106,0,0,0,0,52.42,8.6,0,175.45,1.45,9.05,7.14,89.51,0.88,0,23.68,3.08,4.05,4.68,1.4,7.04,0.77,1290.91,0,22.85,115.64,228.98,60.27,2.07,101.27,10.66,20.52,59.67,0,1.71,0,0,37.38,28.1,85.09,84.59,11.74
108-118,3.95,0,0,0.49,66.73,2.42,0,109.92,5.97,17.18,13.34,63.01,0,2.74,17.38,2.48,3.07,16.58,0,4.75,3.46,1632.73,0,30.42,133.44,215.43,102.68,0.95,129.92,0,6.25,16.19,0,0.81,0.61,0,26.78,28.26,107.73,52.01,4.57
120,0,0,0,4.41,90.73,1.68,1.61,147.23,5.07,14.79,19.64,85.11,1.09,0,17.38,9.85,3.49,3.91,0,3.69,0,1818.4,1.13,127.41,88.52,331.81,245.28,0,78.84,0,43.49,5.14,0,0,2.35,0,11.08,38.75,131.34,93.95,1.1
