stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,15.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.47,0,0,0,7.86,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.58
 24-34,0,0,1.11,0.7,0,0,0,0,2.16,0,0,0.75,0,0.64,22.05,0,0,0,0,0.62,0.69,4.49,0,0,0,583.97
 36-46,0,0,6.3,0,0,1.49,0,0,0,0,4.19,0.58,0,0,16.83,0,0,0,0,2.36,0.75,2.27,0,0,0,1281.68
 48-58,0,0,7.24,0,0,0,0,0,22.55,6.87,1.39,4.6,0,0,50.46,0,0.6,0,0,0.38,0,8.83,0,8.66,0,1782.36
 60-70,0,3.91,7.15,0,0.76,0,0,0,8.58,0,0,1.75,0,0.67,13.39,0,0,0,0,0,0,0,0,0,0,1741.44
 72-82,0,0,30.07,0,0,1.51,0,0,2.19,0,0,6.21,0,0,20.81,0,0,0,0,0,0,6.55,0,0.77,0,1294.12
 84-94,0,0.67,33.8,0,0,0.86,0,0,27.09,0,1.05,4.57,1.07,0,28.59,0,0,0,0,0,0,4.41,0,0,0,992.72
 96-106,0,0.84,34.21,0,0,4.41,1.34,0,0,3.93,0,8.37,0,1.68,39.92,0,0,0,0,1.46,0,0,0,0,0.58,1245.97
108-118,0,0,41.22,0,0,1.85,0,3.6,3.81,3.43,0,8.42,0,0,26.2,0.69,0,0.43,3.27,0.41,0,3.1,2.1,0.89,0,1609.46
120,0,0,21.52,0,0,8.29,0,0,0,0,0,5.46,0,0,39.39,0,0,0,0,1.32,0,0,0,0,0,548.1
