stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,42.01,343.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.67,152.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.8,0,0,0,0,0,0,14.73,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,107.11,16.63,0,14.04,0,0,0,0,0,0,0
 10-12,0,0,0,24.24,0,0,0,15.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.71,4.01,0,3.02,0,4.78,0,0,0,0,0
 14-21,0,0,0,0,4.12,0,0,0.84,0,0,0,0,0.85,0,0,0.9,0,0,4.34,0,0,0,10.11,0,2.36,0,0,0,2.33,4.43,0,0,0
 24-34,0,0,0,0,0,0,0,2.91,0,0,0,0.67,0,0,0.64,0,0,0,1.4,0,0,0,18.94,0,0,0,0,0,0.59,5.38,0.6,0,0
 36-46,0,0,0,0,0,0,0,13.89,0.64,0,0,0,0,0,0,0,0,0,0.67,0.96,0,0,55.17,0,0,0,2.86,0,0,5.2,0,0,0.57
 48-58,0,0,0,0,0,0,0,8.73,0,0,0.53,0.41,0,0,0,0,0,0,8.04,2.29,0,0.93,12.33,0,0,0,0.97,0,0,0,0,0,0
 60-70,0,0,0,0,1.13,0,0,15.94,0,0,0,0.62,0,0,3.2,0,0,0,4.16,0.63,0,0,9.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.54,0,0.94,0,0,2,0,0,0,4.64,0,0,0.65,0,0,0,25.23,2.35,0,0,7.35,0,0,0,0.55,0,0,0,0.54,0,6.5
 84-94,0,0,0,0,1.7,0.61,0,10.17,0,0,0,3.64,0,0,1.05,0,0.7,0,103.39,2.71,0,0,21.83,0,0,0,0,0,0,0,1.54,0,0
 96-106,0,0,0,0,2.2,4.41,0,13.23,0,0,0,3.72,0,0,9.01,0,0,1.33,109.17,13.83,0,0,29.7,0,0,0,6.37,0,0,0,0,3.25,2.64
108-118,0,0,0,0,1.1,0,1.67,7.2,0.89,0.57,1.25,2.94,0,0,1.72,0,0,0,299.36,7.58,0,2.34,20.22,0,1.14,0,0,0,0,1.68,2.67,0,0
120,0,0,0,0,3.08,2.35,0,22.25,0,0,0,0,0,0,0,0,0,0,149.88,1.25,1.38,0,33.01,6,0,0,0,0,0,0,0,0,0
