stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.7,3.27,0,0,5.07,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.52,0,0,0,6.28,0,0,0,16.26,0,0,0,0,0,0,0,0
 14-21,0,0.95,5.07,8.96,0,2.58,0,0,0,0,0,0,0,0,0,0,0,1.13,4.16,0,5.98,61.77,1.39,0,1.04,1.87,0,0,2.61,0,1.03,7.22,19.6,0,0,0,0,0
 24-34,0,0,1.98,0,0,8.64,0,0.92,0,1.04,0,0,0,0,0,0,0,0,9.87,0,5.22,82.24,0,0,1.41,0,0,2.13,0,0,0,1.24,29.57,0,0,3.13,0,0
 36-46,0,0,0.79,0,0,12.83,0,0,0,2.82,0,0,0,0,0,0,0,0,9.11,0,6.29,116.45,0,0,0,0,0.97,5.35,0,0.62,0,0,16.62,0,0,0,0,2.08
 48-58,0,0,0,0,0,29.12,0,0,0.95,9.53,0,0,0.45,0,0,0.63,0.43,0,10.47,0.69,3.94,59.99,0,0,0.83,0,0,2.34,0,0,0,0,22.08,0,0,0,0,0.51
 60-70,0,0,0.67,0,0,14.45,0,0,0,10.55,0,0,0,0,0,0,0,0,22.8,0,0,27.88,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,1.17
 72-82,0,0,0.55,0,0,16.29,0.6,2.22,1.46,21.75,2.62,0,0,0,1.02,0,0.56,0,40.76,0.7,2.56,22.84,0,0,1.92,0,0,2.06,0,0,2.88,0,7.14,0,0.66,7.82,0,1.31
 84-94,0,0,0.65,0,0,9.58,0,1.71,0.7,10.51,0,0.86,1.22,0.8,0,1.37,0,0,26.33,2.25,4.42,14.02,0.76,0,1.49,0,0,2.89,0,0,0,0,0,0,0,2.98,2.26,0
 96-106,0,0,0.58,0,0,22.51,0,3.35,2.62,26.72,1.27,0,0,0.62,0,0.72,0,0,29.35,0,7.07,25.15,0.66,1.81,3.14,0,0,4.18,0,0.7,0,0,0,0,0,6.61,2.57,0
108-118,0,0,9.88,0,3.65,11.85,0,0.42,1.71,19.85,1.09,0,0,0.66,0.47,0,0,0.44,25.07,4.93,2.17,36.66,1.15,1.5,6.59,0,0,6.31,0,0,0.43,0,0,0.68,0.57,2.04,0,1.03
120,0,0,3.97,0,0,3.71,0,0,0,18.71,0,0,6.06,0,0,10.87,0,1.54,17.56,0,8.1,23.16,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0
