stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.6,117.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,13.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,17.65,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.11,0,0,0,0,0,0,0,0,0,0,0,0,27.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.9,0,0,0,0,26.67,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,148.1,0,0,0,0.82,0,59.17,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.5,0,0,0,0,0,1.1,0,6.51,0,2.01
 48-58,0,0,0,0,0,0,0,7.82,0,0,0,5.4,0,0,0,0,0,0,63.44,0,0,0,0,0,1.14,0,0.62,0,0
 60-70,0,0,0,0,0,52.82,0,0,8.06,0,0,0,0,0,5.14,0,0,0,536.46,0,0,0,1.28,0,4.62,0,4.67,0,0
 72-82,0,0,1.22,8.91,0,177.92,0,3.85,28.12,0,0,0,0,0,22.42,0,0,0,677.67,0,0.93,0,0.53,0,22.45,1.85,1.58,0,0
 84-94,0,0,6.48,0.67,0,137.33,0,1.4,34.67,0,0,4.69,1.62,0,1.82,0,0.82,0,521.25,0,0,0,0,0,5.65,0,9.97,0,0
 96-106,0,0,11.04,2.75,10.7,278.74,0,24.06,45.69,0,0,1.2,0,0,27.7,3.69,0,0,636.73,0.65,8.32,2.88,0,0,34.47,0,5.61,1.1,1.22
108-118,0,0,21.95,0.79,1.13,233.03,0.46,33.99,53.01,0,0,0.44,0,2.4,35.4,0,4.52,1.04,1267.97,0,0,4.26,7.21,0,15.6,0,12.44,0,0
120,0,0,10.52,40.27,1,229.81,0,1.75,126.42,0,0,17.04,8.33,0,4.44,0,0,0,2243,0,0,0,1.04,0,24.88,0,11.23,0,0
