stage,blastomeres,eye,fast.muscle,iridophores,melanocytes,mesenchyme,muscle,neural,periderm,spinal.cord,xanthophores
  5-6,6.94,0,0,0,0,0,0,0,6.92,0,0
 14-21,0,0,0,0,0,0,0.91,0.98,0,0,0
 24-34,0,0.62,0,0,0,0,0,0,0,0,1.68
 36-46,0,0,0,0,0,0,4.3,1.56,2.03,0.71,0
 48-58,0,3.33,0,0,0,0.82,0,0,0,0.51,0.42
 60-70,0,5.71,0,0,0,0.69,0,0,0,0,0
 72-82,0,8.71,0.6,0,0,0,0,0,0,0,0
 84-94,0,7.11,0,0.65,0,0,0,0,0,0,0
 96-106,0,5.34,0,0,0,0.92,0,0,0,0,0
108-118,0,4.71,0,0,0.47,0,0,0,0,0,0
120,0,9.45,0,0,0,0,0,0,0,0,3.17
