stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.14,0,0,62.48,0,0,0,0,0,5.78,0,0,0,0,0
 14-21,0,0,8.65,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,13.64,0,28.49,38.32,0.91,0,0,0,0,24.51,0,45.86,344.65,2.71,0,0,0,0
 24-34,0,0,8.61,0,0,9.89,0.95,2.1,28.35,0,0.63,0,5.76,0,0,0,0,280.34,0,63.2,67.98,3.22,0,0,0,6.24,0,3.22,52.47,92.14,6.68,0,0,0,0
 36-46,0,0,0,0,0,0.88,7.97,0,25.84,0,0,0,33.09,0,0,0,0,492.87,0,40.44,38.04,2.06,0,0,0,0,0,0,36.59,0.88,0.78,0,1.23,0.62,0
 48-58,1.28,0,8.07,0,0,20.7,2.41,7.23,29.35,0.73,0,0,29.93,0,0,0,1.02,462.71,13.24,49.4,60.98,0,0,0,0,0,0,0,7.61,0,2.82,0,1.26,0,0
 60-70,0,0,3.69,0,0,13.67,8.33,2.79,108.1,0,0,0,32.34,4.08,0,0,0,445.04,11.3,30.96,44.68,0,0,0,11.52,0,0,0,3.69,0,0,0,11.64,0,0
 72-82,0,0,2.65,0,0,13.46,1.84,0,55.57,2.65,0,0,84.11,1.18,0,0,0,528.32,0,24.39,17.93,0.67,0.5,0,5.83,0,0,0,0,0,3.1,0.67,11.36,4.92,0
 84-94,0,0,17.36,0,0,12.91,2.82,2.61,46.97,1.93,0,0,36.29,0,0,0,0,426.85,3.65,15.84,31.61,0,0,0,3.03,0,0,0,0.71,0,1.93,0,3.23,0,3.26
 96-106,0,0,6.71,3.17,0,8.61,3.68,0,39.52,0,0,0,49.92,1.23,0,2.22,0,277.83,4.85,10.39,28.36,0,0.58,0,6.7,0,0,0,14.03,0,0,1.68,3.05,0,2.25
108-118,0,0,14.77,0,2.29,9.31,14.02,0,32.23,3.63,0,0,39.34,1.67,0.75,0,0,446.14,0,9.31,18.96,0,1.46,0,0,0,0,0,2.08,0,1.92,0,0.63,0,0
120,0,0,62.53,0,5.97,6.76,23.13,0,54.02,0,1.55,0,63.38,0,9.61,0,0,892.29,14.53,16.2,57.38,0,0,0,22.32,0,0,0,0,0,0,0,2.41,0,0
