stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,253.14,4050.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.35,0,0,0,0,0,0,0,0,0,0
  5-6,327.83,5576.41,10.49,0,0,0,0,0,0,0,0,0,51.97,0,0,0,0,0,0,0,0,0,0,197.81,6.07,0,0,77.35,0,13.11,0,0,0,0,0,0,0,0,0,0
  7-9,184.24,157.98,380.35,0,0,0,445.71,0,0,0,0,0,168.28,0,0,0,0,0,0,0,0,0,0,4739.62,199.7,0,0,1989.96,0,0,4.57,0,0,0,0,0,0,0,0,0
 10-12,0,109.3,127.55,0,0,0,77.5,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,2271.07,90.36,0,0,860.11,0,0,0,0,101.97,0,0,9.29,0,0,0,0
 14-21,0,0,8.25,141.81,22.04,0,15.52,0,1.84,0,7.49,36.5,0,3.35,0,5.57,0,0,0,115.38,0,0,58.07,297.49,36.21,0,13.1,16.82,0,0,0.9,149.33,18.91,0.83,48.94,122.32,0,0,7.39,0
 24-34,0,0,5.61,19.22,1.68,0,25.85,0,3.98,2.29,6.08,3.67,0,3.64,0,0.82,0,1.41,0,189.69,0,0,63.26,317.73,77.95,0,10.66,0,0.99,0.68,0,0,2.26,0,18.46,90.17,0,0,16.85,0
 36-46,0,0,0.87,12.4,0,0,14.28,0.68,19.02,3.68,3.84,1.44,0,6.16,0,0,0,0,0,284.89,0,3.92,44.99,178.49,59.91,0.6,5.9,0,0,0,0,0,6.85,0,0,72.98,0,0,8.76,0
 48-58,0,0,0,17.39,0,0,49.11,0,6.76,10.75,12.91,0.38,0.41,4.39,0,3.82,0,4.53,0,364.46,0,7.12,35.99,106.06,20.37,0,4.21,0,2.5,0,0,0,0.41,0,0,41.94,0,3.46,7.67,0.5
 60-70,0,0,0,29.95,0,0,30.42,2.87,8.31,9.42,7.84,0,0,3.91,0,0,0,0,3.12,425.87,2.4,16.01,26.58,81.82,11.97,0,2.41,0,4.62,0,0,0,2.47,0,0,18.41,0,3.76,0,2.37
 72-82,0,0,0,17.16,0,0,45.04,0,11.39,24.94,11.89,0,0,7.43,2.8,0.7,0,0,0,446.13,2.4,18.18,33.66,42.67,6.14,0,10.19,0,6.28,0.51,0,0,0,0,0,0.79,0,11.07,1.39,12.43
 84-94,0,0,0,25.45,0,0,32.34,0.65,6.26,9.93,18.34,0,1.51,0,3.96,0,1.03,0,0,361.08,0,23.07,19.88,49.99,7.83,0.56,9.37,0,0,2.26,0,0,0.92,0,0,6.34,1.38,17.02,1.59,18.86
 96-106,0,0,0,19.45,1.18,0,22.05,1.34,15.42,11.9,11.86,0,0,8.85,4.57,0,2.03,0,0,299.03,0,9.39,5.42,51.13,6.84,0,15.27,0,10.28,0,0,0,0.7,0,0,6.44,1.01,10.59,0,3.54
108-118,0,0,0,25.93,1.42,0.66,8.64,0,16.68,5.78,45.17,0,0,0,4.06,0,0.61,0,0,398.5,0,8.85,12.19,35.21,15.49,0,11.18,0,0,0,0,0,0.42,0,0,7.4,0.42,11.9,5.6,6.05
120,0,0,0,42.39,0,0,16.3,0,2.27,15.41,0,0,0,5.73,5.71,0,1.58,5.65,0,354.9,0,37.32,17.36,75.95,40.54,0,20.08,0,7.72,0,0,0,1.12,0,0,14.02,0,3.38,0,11.77
