stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,89.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,192.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.3,6.65,9.41,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,142.4,7.06,0,0,9.85,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.39,6.21,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0,3.73,0,0,0,0,0,32.7,0,0,0,22.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.23,0,0.9,0,0,0,0.85,0,0,0,0,0,0,43,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,5.24,0,0,0,0,0
 24-34,0,0,0,0.84,0,0,1.23,0,0,0,0,0,0,0,0.62,0,0,134.56,0,0.64,0,0,2.76,39.69,0,0,0,0,0,0,3.7,0,1.44,8.58,0,0,0,0,0
 36-46,0,0,0,0,0,0,7.09,0,0,0,0,0,0,0,0,0,0,86.42,0.66,0,0,0,0,57.85,0,0,0,0,0,1.05,4.33,0,0,7.93,0,0,0.61,0,0
 48-58,0,0,0.4,0.52,0.45,0,8.86,0,0,1.65,0,1.7,0,0,0.38,0,0,139.53,0,4.64,0,0.5,0.48,21.65,0,0,0,0,0,5.23,19.67,0,0,6.87,0,0,2.94,0,0
 60-70,0,0,0,0,0,1,23.7,0,0,0,0,0,0,0,0,0,0,182.12,0,4.2,0,0,0,26.12,0,0.99,0.95,0,0,1.33,24.25,0,0,0.96,1.53,0,0,0,0
 72-82,0,0,0,1.79,0,3.4,41.29,0,0.96,7.33,1.37,0,1.72,0,0.66,0.81,0,761.67,0,11.89,0,1.12,3.68,86.02,0.88,4.3,0,0,0,10.98,71.09,0,0,5.28,4.03,2.34,0.9,0,11.04
 84-94,0,0,0,1.25,1.09,7.41,26.58,0,0.89,5.98,18.66,0,0,0,2.61,0.61,0,2525.32,2.47,30.34,0,0,0,92.7,0,1.11,0,0,0,20.32,178.12,0,0,18.2,5.5,0,0,0,0
 96-106,0,0,0,11.83,23.06,9.38,163.42,6.6,3.57,24.56,23.98,0,0,10.09,4.31,1.14,1.5,4202.95,0,37.47,11.78,2.52,5.3,537.42,0,4.67,0,0,0,32.98,163.15,0.74,0,0,3.14,1.2,11.07,1.28,22.38
108-118,0,0,0,30.3,6.67,22.64,113.31,4.07,1,40.81,9.98,0,0,4.67,0.46,4.51,0.84,8012.01,1.55,80.6,0,4.6,5.3,471.58,0,3.44,1.21,0,3.94,16.43,145.43,0.41,0,2.47,0.89,0,11.37,0,10.89
120,0,0,0,6.22,5.33,1.03,78.59,0,0,17.24,10.94,0,0,7.03,0,0,2.98,3474.42,15.43,30.22,9.06,0,3.06,267.59,1.29,2.9,2.28,0,0,12.66,66.56,0,0,8.26,0,1.52,0,0,4.02
