stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,pericytes,periderm,spinal.cord,vascular.smooth.muscle,xanthophores
  5-6,7.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.13,0,0,0,0,0,0,0,0,0.83,0,0,0,3.52,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.55,0,0,0.85,85.05,0,0,0,0,0,0,0
 36-46,0,0,0,7.01,0,0,0,0,0,0,7.49,0,0,1.11,383.24,1.19,0,0,0,37.05,0,0
 48-58,0,0,0,25.23,0,0,2.24,0,0,0,16.47,0,0,1.58,417.06,0,0,0,0,75.2,0,1.99
 60-70,0,0,0,32.23,0,0,0,0.79,0,0,38.1,0,0,0,487.64,4.37,0,0,0,50.42,2.91,0
 72-82,0,1.49,1.18,52.77,0,0,6.17,4.09,0,5.42,61.84,0.79,0,6.98,494.11,0.91,0,0,1.5,50.15,2.1,0
 84-94,0,0,0,53.5,0,0,0.59,10.71,0,0,46.99,0,0,0,366.32,0,0,0,0,33.56,1.11,0
 96-106,0,2.82,0,38.89,0,0,4.85,3.56,0,0,15.65,0,1.06,0,333.8,0,2.91,1.17,0,13.87,6.54,0
108-118,0,1.57,1.13,24.56,0,0.8,3.51,4.06,3.13,0,25.33,0,0,0,567.17,0,0,0,0,29.42,0,0
120,0,0,0,56.04,10.7,2.66,1.08,0,0,0,41.95,0,0,0,573.36,0,2,0,1.26,13.66,3.62,0
