stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.57,12.13,0,0,8.94,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,4.35,0,0,12.9,0,0,0,0,0,0
 14-21,0,0,0.87,2.76,0,0,0,0,3.54,0,0.87,0,0,0,0,0,0,3.73,0,0,0,23.96,0,1.74,0,1.52,0,0.96,0,0.83,15.98,0,0.83,0,0
 24-34,0,1.28,0,2.76,0,5.7,1.33,0,0.8,0,0,0,0,0,0,0,0,0.85,0,0,0,136.28,0,1.38,0,0,4,0,1.79,0.67,27.16,0,2.83,0,0
 36-46,0,0,0,0,0,13.6,0,0,3.54,0,0,0,0,0,0,0,0,5.62,0,0,0.65,309.96,0,5.33,0.63,0,11.55,0,0,0,64.96,0,3.15,0,9.32
 48-58,0,0,0,5.65,0,51.72,0,0,3.37,0,0,0,5.33,6.95,0.42,0,0,6.47,0,0,1.46,400.2,0,4.68,0,0,0.88,0,0,0,48.01,0,3.39,0,7.06
 60-70,0,0,0,1,0,124.48,0,0,4.21,0.74,0,0,0,0,1.22,1.78,0,21.4,0,1.43,0.69,459.54,0,5.98,5.4,0,0,0,0,0,50.17,0,0,0,21.37
 72-82,0,1.4,0,1.43,1.05,172.27,0.77,0,17.61,0,0,2.57,0,0,3.06,0,0,6.27,0.74,0,0,415.03,0,0,1.66,0,0,0,0,0,32,1.33,0.73,0.57,9.96
 84-94,0,1.11,0,5.11,0.87,150.13,1.43,0.82,1.67,0,0,0.61,0,0,0.78,0,0.96,14.53,0,0,2.61,254.92,0,4.57,2.74,0,7.23,0,0,0,9.83,0,0,0,3.72
 96-106,0,0.99,0,0.81,0,110.41,1.35,10.74,7.39,1.71,0,0,0,0,6.9,0,0,8.1,0,0,1.54,228.28,0,4.54,0,0,2.36,0,0,0,15.68,0,0.79,0,5.19
108-118,0,4.9,0,3.93,2.91,122.18,3.62,0,15.35,0,0,0,0,0,5.87,0.6,0,8.21,0,0,1.42,313.99,0.43,11.04,0,0,1.46,0,0,0,5.04,0,4.59,0,7.97
120,0,0,0,13.12,0,210.02,20.33,0,25.12,0,0,8.54,0,0,4.64,0,0,16.78,0,0,3.2,578.33,0,1.11,0,0,0,0,0,0,11.14,0,0,0,3.76
