stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,67.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,125.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66,0,0,0,8.48,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.97,0,0,1.1,0,0,0,0,0,0.88,16.8,0,0,0,0,0
 24-34,0,0,0,18.58,0,0,29.57,0,1.43,0,0,0,0,0,0,0,0.68,0,1.28,0,0,0,204.85,0,0,17.61,0,2.15,0,0,0,0,209.36,0,0,1.34,0,0
 36-46,0,0,0,15.51,0,0,112.92,0,13.12,0,0,0,0,2.68,0,0,1.38,0,2.55,0,0,0,805.62,0,0,15.15,0,17.85,0,0,0,0,504.27,0,0,7.35,0,0
 48-58,0,0,0,27.09,0.52,0,435.34,7.26,2.39,0,37.89,0,0,0,4.95,0,0.95,0,29.97,0,0,0,1259.37,0,0.59,27.12,0,6.71,0,1.52,0,0,615.51,0,0,1.1,0,1.36
 60-70,0,0,0,25.97,0,0,730.08,0,1.46,0,8.79,0,0.66,0.78,7.14,0,2.87,0,60.13,0.75,1.05,0,1823.61,0,1.22,17.44,0,4.38,0,0,0,0,762.67,2.43,2.93,8.11,0,0
 72-82,0,1.08,0,26.15,1.32,0,981.79,0,7.93,0,20.59,0.63,0,0,0,0,2.49,0,64.1,1.03,0,0,2273.47,0,0.76,12.51,0,2.64,0,0,0.58,0,629.58,12.53,1.66,8.5,1.38,0
 84-94,0,1.15,0,20.93,6.09,0,703.81,0.56,1.66,0,39.45,1.2,0,5.33,3.38,1.76,4.12,2.93,83.19,0,5.22,2.07,1305.14,0,0,40.45,0,6.24,1.4,0,0,0,284.54,11.03,6.55,13.55,0,5.84
 96-106,0,0.81,0,34.44,0.85,0,351.84,0,3.79,2.72,31.8,0.97,0,0.68,1.52,0,4.06,17.17,53.93,0.76,1.7,0,1163.13,4.18,5.14,33.49,0,7.51,0,0,0,0,212.32,13.24,0.88,1.49,2.03,0
108-118,0,0,0,25.78,1.39,2.29,556.67,1.18,1.26,0,38.45,0.43,2.74,0.63,3.39,0,1.02,0,84.37,0.49,2.74,0.59,1832.44,0,8.2,30.21,0,9.92,0,0,0,0,155.19,14.38,0,20.36,0.56,0
120,0,9.35,0,76.98,2.46,0,990.11,16.18,1.01,1.85,84.52,0,0,0,6.52,7.72,4.94,0,92.93,0,29.27,5.8,3810.72,3.99,0,72.77,0,8.87,0,0,0,0,262.73,54.93,4.12,33.44,0,0
