stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,immune,mesenchyme,mural_cell,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,somites,vasculature,xanthophores
  3-4,31.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.88,0,0,6.42,0,0,0,0,0
 14-21,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.61,0,0,0,0,3.82,0,0,0,0,0,0.61,0,0
 36-46,0,0,0,0,0,0,9.61,0,0,0,0,0,0,0,1.37,0,0,0
 48-58,0,0,0,0,0,0.67,17.99,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,2.82,1.32,0,0.69,0,0,0,1.19,0,0,2.16,0
 72-82,0,0,0,0,1.12,0,13.71,1.63,0,2.16,0,0,0,0,0,0,0.86,0
 84-94,0,0,0,0.96,0,0,10,2.4,0,0,0,0,0,0,0,0,12.95,0
 96-106,0,0,0,3.96,0.72,0,30.98,5.95,1.22,8.51,0,0.95,0,2.43,0.6,0,2.58,0
108-118,0,0,0,0.7,0,0,28.25,0,0,3.87,0.69,0,0,3.2,1.51,0,1.1,0.74
120,0,6.1,0,0,4.02,0,29.52,6.36,0,0,0,0,0,3.42,8.28,0,5.89,0
