stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.28,126.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,44.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.18,0,0,10.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.47,16.55,0,0,24.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.25,23.2,0,0,23.5,0,0,0,7.56,0,0,0,0,0,0,0,0
 14-21,0,0,0,17.47,0.95,2.94,0,0,0,0,0,0,0,0,0,0,4.33,0,8.56,0,0,6.77,34.45,2.75,0,0,2.06,0,1.97,3.6,1,1.03,19.94,6.81,0,0,2.51,0,0
 24-34,0,0,0,19,2.17,0.88,0,0,0.62,0,0,1.01,0.68,0,0,0.96,0,0,39.41,0,0,7.97,40.06,0.6,0,2.64,0,0,5.99,0,1.38,0,0,8.1,0,0,8.77,0,1.72
 36-46,0,0,0,13.96,0,3.29,0,0,0.71,0.85,0,0.99,0,0,0,0.77,0,2.97,26.64,0,0.8,9.35,38.45,0,0,2.93,0,0,7.98,0,0,0,0,4.44,0,0,4.41,0,0
 48-58,0,0,0,7.18,0,1.8,0.58,0,1.29,2.97,0,0.89,0,0,0,0.43,0,0.54,42.54,0,0,5.1,14.17,0.51,0,1.28,0,0,0.38,0,0,0,0,3.16,0,0,0.49,0,6.5
 60-70,0,0,0,14.35,0,2.91,0,1.77,0.59,12.29,0,0,2.8,0,0,0.63,1.34,0,66.06,0,0,13.89,18.32,0,0,1.4,0,0,0,0,0,0,0,0.59,0,0,6.26,1.92,0
 72-82,0,0,0,2.41,0,13.05,0,0,3.45,21.13,0,0,0,0,0.49,0.49,0.88,0,69.11,0,2.85,3.23,23.48,0,0.58,4.8,0,2.41,2.24,0,0,0,0,5.28,0,0.85,15.03,0,5.69
 84-94,0,0,0,3.85,0,19.47,0,0,0,3.5,0,2.41,0,0,0,0,0,0,50.75,4.49,1.17,6.63,30.73,0.62,0,0.92,0,0,1.83,0,1.07,0,0,6.35,0,0.84,15.02,0,0
 96-106,0,0,0,14.41,0,0.75,0,0,5.24,9.49,0.74,2.12,0.6,0,2.78,0,0,0,50.71,0,0.93,0.62,14.04,0,0,0.86,0,0,8.28,0,0,0.64,0,1.14,0.67,2.14,1.63,1.84,0
108-118,0,0,0,16.81,0,9.95,0,1.33,6.33,6.43,0,0.99,0,0.49,0.91,0.98,0,0.54,60.1,10.89,0,6.07,13.42,0,0,4.31,0,0,5.12,0,0,0,0,0,0,0,10.48,0.7,0
120,0,0,0,23.16,0,2.81,0,0,0,19.38,0,0,4.53,0,0,0,0,0,139.62,0,8.06,9.98,25.21,4.81,0,7.29,0,0,0,0,0,0,0,0,0,0,7.42,4.9,2.85
