stage,epidermis,eye,glial,gut,neural,olfactory,taste
 24-34,0,0.86,0,0,0,0,0
 36-46,0,0,0,0,1.85,0,0
 72-82,2.47,0,1.74,0,1.52,1.38,0
 96-106,0,12.41,1.27,1.13,6.7,0,0
108-118,0,1.78,0,0,0,0,0
120,0,5.96,0,0,15.94,0,2.82
