stage,neural,olfactory,periderm,pronephros,spinal_cord
 24-34,0.73,1.74,0,0.73,0
 36-46,1.24,0,0,1.31,1.75
 48-58,0,1.29,3.38,0,0
 60-70,0,2.28,0,0,0
 72-82,0,2.41,0,0,0
 96-106,0,1.07,0,0.62,0
108-118,1.07,3.38,0,0,0
120,0,1.57,0,0,0
