stage,blastomeres,immune,mucous,neural,periderm,vasculature
  3-4,16.69,0,0,0,0,0
 10-12,0,0,0,7.6,0,0
 48-58,0,0,0,0,0,2.6
 72-82,0,0,0,0,1.95,0
 96-106,0,2.69,0,0,0,0
108-118,0,0.78,0,1.32,0.59,0
120,0,12.56,2.21,0,0,0
